status,duration_ms,upstream_ms
200,103,103
200,102,102
200,103,103
200,102,102
200,101,101
200,101,101
200,325,325
200,1,1
200,99,99
200,323,323
200,98,97
200,97,97
200,322,321
200,96,96
200,94,94
200,93,93
200,92,92
200,203,202
200,92,92
200,91,91
200,91,91
200,90,90
200,90,90
200,89,89
200,88,88
200,87,87
200,86,86
200,86,86
200,85,85
200,85,85
200,84,84
200,84,84
200,83,83
200,83,83
200,82,82
200,82,82
200,81,81
200,81,80
200,80,80
200,186,186
200,76,76
200,77,77
200,75,75
200,77,77
200,74,74
200,76,76
200,74,74
200,73,73
200,69,69
200,70,70
200,71,70
200,69,69
200,68,68
200,65,65
200,179,178
200,64,64
200,60,60
200,298,298
200,61,61
200,60,60
200,59,59
200,60,60
200,58,58
200,58,58
200,58,58
200,58,58
200,56,56
200,54,53
200,52,52
200,53,53
200,52,52
200,52,52
200,53,52
200,51,51
200,52,52
200,52,52
200,48,48
200,49,48
200,50,49
200,48,48
200,50,49
200,49,49
200,154,154
200,50,50
200,50,50
200,155,155
200,51,51
200,51,51
200,155,155
200,51,51
200,51,51
200,52,51
200,51,51
200,51,51
200,51,51
200,50,50
200,51,50
200,51,51
200,50,50
200,262,262
200,50,50
200,1683,1682
200,1684,1684
200,1686,1686
200,1688,1688
200,1686,1685
200,1684,1684
200,1685,1685
200,1679,1679
200,1682,1682
200,1681,1681
200,1682,1682
200,1682,1682
200,1684,1684
200,1683,1683
200,1676,1676
200,1672,1672
200,1674,1674
200,1673,1673
200,1674,1673
200,1675,1675
200,1677,1676
200,1678,1678
200,1679,1679
200,1678,1678
200,1673,1673
200,1674,1674
200,1676,1676
200,1676,1676
200,1675,1675
200,1674,1674
200,1673,1673
200,1672,1672
200,1672,1672
200,1671,1671
200,1670,1670
200,1669,1669
200,1670,1670
200,1669,1669
200,1670,1670
200,1669,1669
200,1669,1669
200,1667,1667
200,1667,1667
200,1666,1666
200,1665,1665
200,1663,1663
200,1664,1664
200,1662,1662
200,1661,1661
200,1660,1660
200,1660,1660
200,1658,1657
200,1658,1658
200,1658,1657
200,1656,1656
200,1656,1655
200,1654,1654
200,1655,1655
200,1653,1653
200,1652,1652
