timestamp,pod,scheduling_time_ms,podautoscaler,reconcile_time_ms
2026-06-02T15:33:33.434603006Z,,,default/linpack-00001,18.583599
2026-06-02T15:33:33.830804883Z,,,default/fastfouriertransform-00001,16.638911
2026-06-02T15:33:33.84875061Z,,,default/fastfouriertransform-00001,17.918153
2026-06-02T15:41:57.149460209Z,,,default/fastfouriertransform-00001,33.721493
2026-06-02T15:41:57.186544263Z,,,default/genmatrix-00001,26.870761
2026-06-02T15:41:57.188230839Z,,,default/genmatrix-00001,1.63878
2026-06-02T15:41:57.234677814Z,,,default/fetchdata-00001,28.559911
2026-06-02T15:41:57.269152901Z,,,default/fetchdata-00001,34.401957
2026-06-02T15:41:57.345341215Z,,,default/linpack-00001,40.202799
2026-06-02T15:41:57.88119327Z,,,default/matrixmul-00001,25.51974
2026-06-02T15:41:57.903995673Z,,,default/matrixmul-00001,22.755792
2026-06-02T15:41:58.568802489Z,,,default/fastfouriertransform-00001,9.304494
2026-06-02T15:41:58.579374838Z,,,default/fastfouriertransform-00001,9.496977
2026-06-02T15:41:58.730207797Z,,,default/fetchdata-00001,9.890681
2026-06-02T15:41:58.769277261Z,,,default/fetchdata-00001,36.929275
2026-06-02T15:41:59.097656885Z,,,default/linpack-00001,8.462642
2026-06-02T15:41:59.110534404Z,,,default/linpack-00001,10.014515
2026-06-02T15:41:59.307594264Z,,,default/genmatrix-00001,7.726789
2026-06-02T15:41:59.31943991Z,,,default/genmatrix-00001,9.633847
2026-06-02T15:41:59.432888316Z,,,default/matrixmul-00001,9.004198
2026-06-02T15:41:59.446282076Z,,,default/matrixmul-00001,8.955124
2026-06-02T15:42:00.285216348Z,,,default/linpack-00001,20.197955
2026-06-02T15:42:00.294885917Z,,,default/fastfouriertransform-00001,26.418668
2026-06-02T15:42:01.747076116Z,,,default/fastfouriertransform-00001,9.94307
2026-06-02T15:42:02.217804502Z,,,default/linpack-00001,10.520867
2026-06-02T15:42:04.289257488Z,,,default/linpack-00001,22.892977
2026-06-02T15:42:06.043898182Z,,,default/linpack-00001,1.27928
2026-06-02T15:42:06.05961002Z,,,default/linpack-00001,9.088643
2026-06-02T15:42:08.288855792Z,,,default/matrixmul-00001,21.94031
2026-06-02T15:42:08.31305053Z,,,default/matrixmul-00001,24.133165
2026-06-02T15:42:10.204190886Z,,,default/matrixmul-00001,13.787113
2026-06-02T15:43:00.305638078Z,,,default/linpack-00001,40.434467
2026-06-02T15:43:00.307614137Z,,,default/fastfouriertransform-00001,38.69089
2026-06-02T15:43:00.34297554Z,,,default/linpack-00001,37.268387
2026-06-02T15:43:00.344830857Z,,,default/fastfouriertransform-00001,36.85998
2026-06-02T15:43:00.365473647Z,,,default/linpack-00001,22.450552
2026-06-02T15:43:06.290185456Z,,,default/linpack-00001,25.390111
