index,function,size,latency_ms,execution_time_sec,type,status
952,resnet,medium,149.9,0.144799,warm,200
953,fastfouriertransform,small,22.3,0.007793,warm,200
954,mobilenet,large,34.6,0.029904,warm,200
955,pagerank,small,83.8,0.010459,warm,200
956,pagerank,large,418.7,0.321818,warm,200
957,genmatrix,large,81.3,0.000806,warm,200
958,fetchdata,medium,143.1,0.138404,warm,200
959,matrixmul,small,78.5,0.00796,warm,200
960,resnet,medium,144.8,0.139716,warm,200
961,genmatrix,large,54.6,0.001176,warm,200
962,matrixmul,small,18.0,0.005035,warm,200
963,fastfouriertransform,large,21.8,0.007686,warm,200
964,linpack,small,12.3,0.00516,warm,200
965,pagerank,large,456.1,0.290911,warm,200
966,pagerank,large,387.3,0.29223,warm,200
967,pagerank,small,18.8,0.010084,warm,200
968,matrixmul,medium,558.3,0.54501,warm,200
969,graphgen,large,587.4,0.121285,warm,200
970,matrixmul,medium,533.7,0.520312,warm,200
971,grayscale,large,2819.0,2.710049,cold,200
972,graphgen,medium,115.4,0.012202,warm,200
973,fastfouriertransform,medium,624.6,0.607103,warm,200
974,genmatrix,large,39.5,0.000798,warm,200
975,fastfouriertransform,large,27.7,0.010126,warm,200
976,linpack,small,16.4,0.008146,warm,200
977,graphgen,medium,149.3,0.019275,warm,200
978,pagerank,medium,91.9,0.065454,warm,200
979,fetchdata,large,88.3,0.082901,warm,200
980,mobilenet,large,49.8,0.041607,warm,200
981,mobilenet,large,22.4,0.018066,warm,200
982,fetchdata,small,85.0,0.080922,warm,200
983,fastfouriertransform,large,24.5,0.007863,warm,200
984,mobilenet,small,29.0,0.024455,warm,200
985,grayscale,small,16.8,0.010774,warm,200
986,graphgen,small,39.7,0.004297,warm,200
987,graphgen,medium,145.7,0.019475,warm,200
988,grayscale,large,2788.7,2.676577,cold,200
989,matrixmul,large,18.2,0.005077,warm,200
990,mobilenet,medium,29.2,0.023786,warm,200
991,graphgen,large,529.6,0.065756,warm,200
992,genmatrix,medium,10.2,0.000201,warm,200
993,linpack,small,15.0,0.00806,warm,200
994,linpack,medium,692.6,0.685497,warm,200
