index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,in_flight
557,557,mobilenet,large,warm,200,32.97,32.97,0.0,18.44,14.53,2
558,558,mobilenet,large,warm,200,34.06,34.05,0.01,18.02,16.04,1
559,559,mobilenet,medium,warm,200,32.54,32.54,0.01,18.49,14.05,1
560,560,resnet,small,warm,200,138.08,138.07,0.01,120.84,17.23,1
561,561,resnet,large,warm,200,139.05,139.04,0.0,124.85,14.19,2
562,562,mobilenet,small,warm,200,29.62,29.61,0.0,18.77,10.84,2
563,563,resnet,medium,warm,200,137.14,137.13,0.01,120.19,16.94,1
564,564,resnet,small,warm,200,142.45,142.44,0.0,129.16,13.28,2
565,565,mobilenet,small,warm,200,35.43,35.43,0.01,24.03,11.4,2
566,566,resnet,large,warm,200,133.16,133.16,0.01,122.24,10.92,1
567,567,resnet,small,warm,200,137.75,137.75,0.01,120.82,16.93,2
568,568,resnet,medium,warm,200,136.05,136.04,0.01,124.63,11.41,2
569,569,resnet,large,warm,200,142.88,142.88,0.01,123.33,19.55,2
570,570,resnet,small,warm,200,130.9,130.89,0.01,120.1,10.79,2
571,571,resnet,small,warm,200,134.51,134.5,0.0,122.76,11.74,2
572,572,mobilenet,small,warm,200,32.45,32.44,0.01,18.65,13.8,2
573,573,resnet,large,warm,200,134.42,134.42,0.0,121.34,13.08,1
574,574,resnet,small,warm,200,140.72,140.72,0.0,126.4,14.32,2
575,575,resnet,small,warm,200,149.45,149.45,0.0,135.43,14.01,2
576,576,resnet,large,warm,200,134.84,134.84,0.01,122.01,12.83,2
577,577,mobilenet,medium,warm,200,36.2,36.2,0.0,23.49,12.7,2
578,578,resnet,large,warm,200,133.26,133.26,0.01,119.37,13.89,1
579,579,resnet,large,warm,200,138.34,138.33,0.0,125.85,12.48,2
580,580,resnet,large,warm,200,137.12,137.11,0.01,125.04,12.08,2
581,581,resnet,small,warm,200,181.36,181.35,0.01,169.89,11.47,2
582,582,mobilenet,medium,warm,200,29.09,29.08,0.01,17.64,11.44,2
583,583,mobilenet,large,warm,200,30.34,30.33,0.01,18.83,11.51,1
584,584,resnet,large,warm,200,187.76,187.76,0.0,172.6,15.16,1
585,585,mobilenet,large,warm,200,49.6,49.6,0.0,35.95,13.65,2
586,586,mobilenet,large,warm,200,40.67,40.66,0.01,27.7,12.96,1
587,587,resnet,large,warm,200,160.86,160.85,0.0,146.81,14.04,1
588,588,resnet,large,warm,200,180.88,180.88,0.01,169.44,11.43,2
589,589,resnet,small,warm,200,137.61,137.6,0.01,122.72,14.88,2
590,590,mobilenet,small,warm,200,33.0,33.0,0.01,20.1,12.89,2
591,591,mobilenet,medium,warm,200,33.24,33.23,0.01,19.58,13.65,1
592,592,resnet,small,warm,200,136.63,136.63,0.01,123.82,12.81,1
593,593,mobilenet,small,warm,200,43.34,43.34,0.01,27.94,15.39,2
594,594,mobilenet,medium,warm,200,45.12,45.12,0.01,26.76,18.36,1
595,595,resnet,medium,warm,200,136.97,136.97,0.01,122.66,14.3,1
596,596,resnet,large,warm,200,137.51,137.51,0.01,122.72,14.78,2
597,597,mobilenet,medium,warm,200,28.44,28.43,0.01,17.9,10.53,2
598,598,mobilenet,medium,warm,200,28.64,28.64,0.01,17.86,10.78,1
599,599,resnet,medium,warm,200,130.12,130.12,0.0,119.17,10.95,1
600,600,mobilenet,large,warm,200,29.36,29.36,0.0,18.0,11.36,2
601,601,resnet,small,warm,200,137.81,137.81,0.01,123.34,14.46,1
602,602,resnet,medium,warm,200,133.7,133.69,0.0,120.25,13.45,2
603,603,mobilenet,medium,warm,200,37.56,37.55,0.0,17.66,19.89,2
604,604,mobilenet,large,warm,200,40.16,40.16,0.01,28.21,11.94,1
605,605,resnet,large,warm,200,136.77,136.76,0.0,123.16,13.6,1
606,606,resnet,small,warm,200,138.83,138.82,0.01,125.37,13.45,2
607,607,resnet,medium,warm,200,132.45,132.44,0.01,119.82,12.63,2
608,608,mobilenet,small,warm,200,47.88,47.87,0.01,31.84,16.03,2
609,609,resnet,small,warm,200,132.38,132.38,0.01,121.69,10.68,1
610,610,mobilenet,large,warm,200,41.73,41.73,0.01,27.3,14.42,2
611,611,mobilenet,small,warm,200,38.43,38.42,0.01,23.58,14.85,1
612,612,resnet,small,warm,200,141.97,141.97,0.0,119.82,22.14,1
613,613,mobilenet,large,warm,200,31.64,31.64,0.01,18.11,13.53,2
614,614,mobilenet,small,warm,200,31.22,31.22,0.01,17.69,13.52,1
615,615,mobilenet,large,warm,200,30.19,30.18,0.0,18.51,11.67,1
616,616,mobilenet,small,warm,200,40.25,40.24,0.01,29.5,10.74,1
617,617,resnet,small,warm,200,135.61,135.61,0.0,122.6,13.01,1
618,618,mobilenet,medium,warm,200,28.14,28.14,0.0,17.69,10.45,2
619,619,mobilenet,small,warm,200,32.88,32.87,0.01,21.46,11.41,1
620,620,resnet,small,warm,200,131.6,131.6,0.0,121.04,10.56,1
621,621,mobilenet,large,warm,200,39.53,39.52,0.01,24.75,14.77,2
622,622,mobilenet,small,warm,200,26.89,26.89,0.0,17.48,9.41,1
623,623,mobilenet,medium,warm,200,41.16,41.16,0.01,29.23,11.93,1
624,624,mobilenet,large,warm,200,29.31,29.3,0.0,18.37,10.93,1
625,625,resnet,small,warm,200,130.79,130.79,0.0,119.93,10.86,1
626,626,mobilenet,medium,warm,200,31.47,31.47,0.01,20.19,11.27,2
627,627,mobilenet,small,warm,200,27.93,27.93,0.01,18.06,9.87,1
628,628,resnet,large,warm,200,153.74,153.73,0.01,140.9,12.83,1
629,629,mobilenet,large,warm,200,28.34,28.33,0.0,17.47,10.86,2
630,630,mobilenet,medium,warm,200,30.19,30.18,0.01,19.5,10.68,1
631,631,resnet,medium,warm,200,137.42,137.41,0.0,125.32,12.1,1
632,632,mobilenet,medium,warm,200,64.51,64.51,0.01,45.6,18.91,2
633,633,mobilenet,large,warm,200,46.25,46.24,0.0,35.75,10.49,1
634,634,mobilenet,large,warm,200,38.14,38.14,0.0,25.31,12.83,1
635,635,resnet,medium,warm,200,129.61,129.61,0.0,119.33,10.28,1
636,636,mobilenet,small,warm,200,35.61,35.6,0.01,21.92,13.69,2
637,637,resnet,medium,warm,200,130.82,130.81,0.0,121.43,9.39,1
638,638,resnet,large,warm,200,180.03,180.03,0.0,138.5,41.53,2
639,639,mobilenet,medium,warm,200,42.19,42.18,0.0,29.31,12.88,2
640,640,resnet,small,warm,200,136.71,136.71,0.01,119.58,17.13,1
641,641,mobilenet,medium,warm,200,31.25,31.25,0.0,20.77,10.48,2
642,642,mobilenet,small,warm,200,31.93,31.93,0.01,21.06,10.87,1
643,643,mobilenet,medium,warm,200,34.43,34.42,0.0,21.03,13.39,1
644,644,resnet,medium,warm,200,135.63,135.63,0.0,125.23,10.4,1
645,645,resnet,medium,warm,200,168.77,168.77,0.01,125.71,43.05,2
646,646,resnet,small,warm,200,192.24,192.24,0.0,123.08,69.16,2
647,647,mobilenet,large,warm,200,41.32,41.32,0.0,30.52,10.8,2
648,648,mobilenet,medium,warm,200,37.91,37.91,0.0,28.11,9.8,1
649,649,resnet,small,warm,200,129.63,129.62,0.0,120.36,9.27,1
650,650,resnet,medium,warm,200,158.28,158.27,0.0,129.11,29.16,2
651,651,resnet,medium,warm,200,192.32,192.32,0.01,130.45,61.87,2
652,652,resnet,large,warm,200,217.54,217.54,0.0,121.72,95.81,2
653,653,mobilenet,medium,warm,200,32.74,32.74,0.0,21.94,10.8,2
654,654,resnet,medium,warm,200,147.8,147.8,0.0,125.21,22.59,2
655,655,resnet,medium,warm,200,214.77,214.76,0.0,171.16,43.6,2
656,656,mobilenet,large,warm,200,37.57,37.56,0.0,25.63,11.93,2
657,657,resnet,small,warm,200,151.75,151.74,0.01,131.83,19.91,2
658,658,mobilenet,small,warm,200,45.43,45.43,0.0,34.23,11.2,2
659,659,mobilenet,medium,warm,200,30.82,30.81,0.0,19.73,11.08,1
660,660,mobilenet,large,warm,200,34.13,34.12,0.0,21.54,12.58,1
661,661,resnet,small,warm,200,128.76,128.76,0.0,120.3,8.46,1
662,662,mobilenet,large,warm,200,33.36,33.35,0.0,23.19,10.17,2
663,663,resnet,large,warm,200,131.64,131.63,0.0,121.41,10.22,1
664,664,mobilenet,medium,warm,200,35.13,35.13,0.0,22.77,12.36,2
665,665,resnet,large,warm,200,133.03,133.03,0.0,122.93,10.1,1
666,666,resnet,large,warm,200,174.41,174.41,0.0,136.14,38.26,2
667,667,mobilenet,medium,warm,200,35.34,35.33,0.0,23.91,11.42,2
668,668,resnet,medium,warm,200,148.2,148.2,0.0,134.52,13.68,1
669,669,mobilenet,large,warm,200,41.51,41.5,0.0,30.36,11.14,2
670,670,mobilenet,small,warm,200,37.68,37.68,0.0,26.15,11.53,1
671,671,resnet,small,warm,200,272.41,272.41,0.0,259.07,13.33,1
672,672,mobilenet,medium,warm,200,38.48,38.48,0.0,28.85,9.63,2
673,673,resnet,small,warm,200,449.82,449.82,0.0,379.32,70.5,2
674,674,resnet,large,warm,200,475.54,475.54,0.0,120.3,355.24,2
675,675,mobilenet,medium,warm,200,48.41,48.41,0.0,37.26,11.15,3
676,676,mobilenet,large,warm,200,35.35,35.35,0.0,24.94,10.41,3
677,677,resnet,small,warm,200,298.71,298.7,0.0,120.97,177.74,3
678,678,mobilenet,medium,warm,200,40.18,40.17,0.0,30.34,9.83,3
679,679,resnet,medium,warm,200,216.53,216.53,0.0,120.05,96.48,2
680,680,resnet,small,warm,200,244.36,244.36,0.0,121.4,122.96,2
681,681,mobilenet,small,warm,200,34.24,34.23,0.0,22.97,11.26,3
682,682,resnet,small,warm,200,165.39,165.39,0.0,122.07,43.31,2
683,683,mobilenet,large,warm,200,35.24,35.24,0.0,22.88,12.36,2
684,684,mobilenet,small,warm,200,30.79,30.79,0.0,20.25,10.53,1
685,685,mobilenet,medium,warm,200,37.85,37.84,0.0,26.94,10.9,1
686,686,resnet,medium,warm,200,133.37,133.36,0.01,122.51,10.85,1
687,687,resnet,small,warm,200,152.39,152.38,0.0,121.37,31.01,2
688,688,resnet,medium,warm,200,180.98,180.98,0.0,123.44,57.53,2
689,689,resnet,large,warm,200,207.22,207.22,0.0,123.71,83.51,2
690,690,mobilenet,small,warm,200,45.58,45.57,0.01,32.72,12.86,2
691,691,mobilenet,small,warm,200,31.39,31.38,0.0,20.77,10.62,2
692,692,mobilenet,large,warm,200,33.1,33.09,0.01,20.34,12.75,1
693,693,mobilenet,medium,warm,200,37.08,37.08,0.0,26.94,10.14,1
694,694,resnet,large,warm,200,137.89,137.89,0.0,125.22,12.67,1
695,695,resnet,medium,warm,200,162.87,162.87,0.01,120.86,42.01,2
696,696,resnet,medium,warm,200,179.48,179.47,0.01,122.57,56.9,2
697,697,resnet,small,warm,200,208.03,208.03,0.0,124.29,83.74,2
698,698,mobilenet,medium,warm,200,43.29,43.28,0.01,31.81,11.47,2
699,699,resnet,small,warm,200,135.96,135.96,0.0,123.8,12.15,2
700,700,resnet,large,warm,200,151.79,151.79,0.0,121.85,29.94,2
701,701,resnet,large,warm,200,184.46,184.46,0.01,125.48,58.97,2
702,702,resnet,small,warm,200,207.55,207.54,0.0,124.35,83.19,2
703,703,mobilenet,medium,warm,200,33.1,33.1,0.0,22.63,10.47,2
704,704,mobilenet,small,warm,200,32.98,32.98,0.0,20.77,12.21,2
705,705,mobilenet,medium,warm,200,36.51,36.5,0.0,26.92,9.58,1
706,706,mobilenet,small,warm,200,30.49,30.49,0.01,19.85,10.64,1
707,707,resnet,medium,warm,200,132.95,132.94,0.0,123.2,9.74,1
708,708,resnet,small,warm,200,157.53,157.52,0.01,122.82,34.7,2
709,709,mobilenet,medium,warm,200,34.71,34.7,0.0,23.02,11.69,2
710,710,resnet,small,warm,200,131.68,131.67,0.0,119.86,11.81,1
711,711,mobilenet,medium,warm,200,37.3,37.29,0.01,24.87,12.42,2
712,712,mobilenet,large,warm,200,32.4,32.4,0.01,21.28,11.11,1
713,713,resnet,small,warm,200,131.77,131.77,0.0,122.45,9.31,1
