entity_id,state,last_changed
sensor.bandeau_d_alimentation_antela_puissance,65.3,2026-07-24T08:10:20.361Z
sensor.bandeau_d_alimentation_antela_puissance,65.8,2026-07-24T08:10:25.447Z
sensor.bandeau_d_alimentation_antela_puissance,67.8,2026-07-24T08:10:30.433Z
sensor.bandeau_d_alimentation_antela_puissance,65.9,2026-07-24T08:10:35.505Z
sensor.bandeau_d_alimentation_antela_puissance,66.9,2026-07-24T08:10:40.406Z
sensor.bandeau_d_alimentation_antela_puissance,66.6,2026-07-24T08:10:50.469Z
sensor.bandeau_d_alimentation_antela_puissance,65.9,2026-07-24T08:10:55.427Z
sensor.bandeau_d_alimentation_antela_puissance,65.0,2026-07-24T08:11:00.577Z
sensor.bandeau_d_alimentation_antela_puissance,64.5,2026-07-24T08:11:05.449Z
sensor.bandeau_d_alimentation_antela_puissance,66.3,2026-07-24T08:11:10.456Z
sensor.bandeau_d_alimentation_antela_puissance,65.4,2026-07-24T08:11:15.496Z
sensor.bandeau_d_alimentation_antela_puissance,67.9,2026-07-24T08:11:20.451Z
sensor.bandeau_d_alimentation_antela_puissance,67.3,2026-07-24T08:11:25.570Z
sensor.bandeau_d_alimentation_antela_puissance,64.3,2026-07-24T08:18:43.251Z
sensor.bandeau_d_alimentation_antela_puissance,64.6,2026-07-24T08:18:47.310Z
sensor.bandeau_d_alimentation_antela_puissance,63.4,2026-07-24T08:18:52.396Z
sensor.bandeau_d_alimentation_antela_puissance,63.1,2026-07-24T08:19:02.479Z
sensor.bandeau_d_alimentation_antela_puissance,63.4,2026-07-24T08:19:07.450Z
sensor.bandeau_d_alimentation_antela_puissance,63.9,2026-07-24T08:20:15.059Z
sensor.bandeau_d_alimentation_antela_puissance,63.1,2026-07-24T08:20:20.028Z
sensor.bandeau_d_alimentation_antela_puissance,63.4,2026-07-24T08:20:24.945Z
sensor.bandeau_d_alimentation_antela_puissance,64.3,2026-07-24T08:20:30.061Z
sensor.bandeau_d_alimentation_antela_puissance,63.8,2026-07-24T08:20:35.109Z
sensor.bandeau_d_alimentation_antela_puissance,63.3,2026-07-24T08:20:40.150Z
sensor.bandeau_d_alimentation_antela_puissance,63.5,2026-07-24T08:20:44.893Z
sensor.bandeau_d_alimentation_antela_puissance,64.3,2026-07-24T08:20:49.944Z
sensor.bandeau_d_alimentation_antela_puissance,78.1,2026-07-24T08:22:12.039Z
sensor.bandeau_d_alimentation_antela_puissance,70.1,2026-07-24T08:22:16.674Z
sensor.bandeau_d_alimentation_antela_puissance,68.1,2026-07-24T08:22:21.653Z
sensor.bandeau_d_alimentation_antela_puissance,66.6,2026-07-24T08:22:26.601Z
sensor.bandeau_d_alimentation_antela_puissance,67.0,2026-07-24T08:22:31.590Z
sensor.bandeau_d_alimentation_antela_puissance,68.6,2026-07-24T08:22:36.558Z
sensor.bandeau_d_alimentation_antela_puissance,65.1,2026-07-24T08:22:41.688Z
sensor.bandeau_d_alimentation_antela_puissance,66.9,2026-07-24T08:22:53.232Z
sensor.bandeau_d_alimentation_antela_puissance,68.8,2026-07-24T08:22:58.160Z
sensor.bandeau_d_alimentation_antela_puissance,65.7,2026-07-24T08:23:03.211Z
sensor.bandeau_d_alimentation_antela_puissance,69.0,2026-07-24T08:23:08.318Z
sensor.bandeau_d_alimentation_antela_puissance,64.7,2026-07-24T08:23:13.130Z
sensor.bandeau_d_alimentation_antela_puissance,67.4,2026-07-24T08:23:18.184Z
sensor.bandeau_d_alimentation_antela_puissance,65.0,2026-07-24T08:23:23.177Z
sensor.bandeau_d_alimentation_antela_puissance,67.6,2026-07-24T08:23:28.242Z
sensor.bandeau_d_alimentation_antela_puissance,67.8,2026-07-24T08:23:33.203Z
sensor.bandeau_d_alimentation_antela_puissance,65.3,2026-07-24T08:23:38.196Z
sensor.bandeau_d_alimentation_antela_puissance,69.5,2026-07-24T08:23:43.288Z
sensor.bandeau_d_alimentation_antela_puissance,66.4,2026-07-24T08:23:48.374Z
sensor.bandeau_d_alimentation_antela_puissance,68.3,2026-07-24T08:23:53.157Z
sensor.bandeau_d_alimentation_antela_puissance,67.7,2026-07-24T08:23:58.294Z
sensor.bandeau_d_alimentation_antela_puissance,65.8,2026-07-24T08:24:03.237Z
sensor.bandeau_d_alimentation_antela_puissance,68.3,2026-07-24T08:24:08.184Z
sensor.bandeau_d_alimentation_antela_puissance,67.2,2026-07-24T08:24:13.227Z
sensor.bandeau_d_alimentation_antela_puissance,69.2,2026-07-24T08:24:18.243Z
sensor.bandeau_d_alimentation_antela_puissance,66.1,2026-07-24T08:24:23.199Z
sensor.bandeau_d_alimentation_antela_puissance,67.3,2026-07-24T08:24:28.293Z
sensor.bandeau_d_alimentation_antela_puissance,68.4,2026-07-24T08:24:41.294Z
sensor.bandeau_d_alimentation_antela_puissance,67.7,2026-07-24T08:24:46.474Z
sensor.bandeau_d_alimentation_antela_puissance,65.6,2026-07-24T08:24:51.487Z
sensor.bandeau_d_alimentation_antela_puissance,68.2,2026-07-24T08:24:56.371Z
sensor.bandeau_d_alimentation_antela_puissance,66.9,2026-07-24T08:25:01.462Z
sensor.bandeau_d_alimentation_antela_puissance,68.9,2026-07-24T08:25:06.274Z
sensor.bandeau_d_alimentation_antela_puissance,66.6,2026-07-24T08:25:11.430Z
sensor.bandeau_d_alimentation_antela_puissance,66.4,2026-07-24T08:25:16.360Z
sensor.bandeau_d_alimentation_antela_puissance,68.2,2026-07-24T08:25:21.418Z
sensor.bandeau_d_alimentation_antela_puissance,68.9,2026-07-24T08:25:26.377Z
sensor.bandeau_d_alimentation_antela_puissance,70.0,2026-07-24T08:25:31.366Z
sensor.bandeau_d_alimentation_antela_puissance,66.9,2026-07-24T08:25:36.421Z
sensor.bandeau_d_alimentation_antela_puissance,68.5,2026-07-24T08:25:41.354Z
sensor.bandeau_d_alimentation_antela_puissance,65.2,2026-07-24T08:25:46.302Z
sensor.bandeau_d_alimentation_antela_puissance,67.7,2026-07-24T08:25:51.381Z
sensor.bandeau_d_alimentation_antela_puissance,68.9,2026-07-24T08:25:56.441Z
sensor.bandeau_d_alimentation_antela_puissance,68.0,2026-07-24T08:26:01.380Z
sensor.bandeau_d_alimentation_antela_puissance,69.4,2026-07-24T08:26:06.357Z
sensor.bandeau_d_alimentation_antela_puissance,68.0,2026-07-24T08:26:11.510Z
sensor.bandeau_d_alimentation_antela_puissance,66.7,2026-07-24T08:26:16.590Z
