index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,in_flight
713,713,resnet,small,warm,200,142.1,142.09,0.0,125.54,16.55,2
714,714,resnet,large,warm,200,142.12,142.11,0.01,127.07,15.04,2
715,715,mobilenet,medium,warm,200,33.49,33.49,0.0,22.45,11.04,3
716,716,mobilenet,medium,warm,200,36.04,36.03,0.01,23.64,12.39,2
717,717,mobilenet,medium,warm,200,32.69,32.69,0.01,18.06,14.63,1
718,718,resnet,large,warm,200,134.57,134.57,0.0,120.81,13.76,1
719,719,resnet,large,warm,200,130.06,130.06,0.0,118.68,11.38,2
720,720,resnet,medium,warm,200,135.86,135.84,0.01,121.95,13.89,3
721,721,mobilenet,medium,warm,200,27.52,27.52,0.0,17.77,9.75,3
722,722,mobilenet,medium,warm,200,45.34,45.33,0.01,27.69,17.65,2
723,723,mobilenet,large,warm,200,66.5,66.5,0.0,21.01,45.49,1
724,724,resnet,large,warm,200,132.74,132.74,0.0,121.34,11.4,2
725,725,resnet,small,warm,200,237.98,237.98,0.01,224.89,13.09,2
726,726,resnet,small,warm,200,133.87,133.87,0.0,122.46,11.41,3
727,727,mobilenet,medium,warm,200,29.97,29.96,0.0,17.78,12.18,3
728,728,resnet,large,warm,200,163.45,163.44,0.0,147.15,16.29,3
729,729,mobilenet,medium,warm,200,28.62,28.62,0.0,17.45,11.17,3
730,730,resnet,large,warm,200,136.64,136.64,0.0,124.38,12.26,2
731,731,resnet,small,warm,200,133.79,133.79,0.0,120.04,13.75,3
732,732,resnet,small,warm,200,133.37,133.36,0.01,122.25,11.12,3
733,733,mobilenet,large,warm,200,34.34,34.33,0.0,23.22,11.11,3
734,734,mobilenet,large,warm,200,39.6,39.6,0.0,25.46,14.15,2
735,735,mobilenet,medium,warm,200,35.75,35.74,0.0,24.58,11.17,1
736,736,resnet,large,warm,200,134.86,134.86,0.0,121.74,13.12,1
737,737,mobilenet,small,warm,200,29.23,29.22,0.0,17.8,11.42,2
738,738,mobilenet,small,warm,200,32.53,32.53,0.0,19.5,13.03,2
