epoch,iso_time,event,from_mode,to_mode,rate
1784810529.628729,2026-07-23T12:42:09.628741+00:00,TRANSITION_END,apiserver,local1core,0.00
1784811010.318586,2026-07-23T12:50:10.318591+00:00,TRANSITION_START,local1core,apiserver,52.35
1784811011.230184,2026-07-23T12:50:11.230197+00:00,TRANSITION_END,local1core,apiserver,52.35
1784811103.999652,2026-07-23T12:51:43.999658+00:00,TRANSITION_START,apiserver,local1core,0.00
1784811104.914163,2026-07-23T12:51:44.914174+00:00,TRANSITION_END,apiserver,local1core,0.00
1784811643.260394,2026-07-23T13:00:43.260399+00:00,TRANSITION_START,local1core,apiserver,60.07
1784811644.212840,2026-07-23T13:00:44.212863+00:00,TRANSITION_END,local1core,apiserver,60.07
1784811736.011234,2026-07-23T13:02:16.011239+00:00,TRANSITION_START,apiserver,local1core,0.00
1784811736.863231,2026-07-23T13:02:16.863249+00:00,TRANSITION_END,apiserver,local1core,0.00
1784812231.228766,2026-07-23T13:10:31.228771+00:00,TRANSITION_START,local1core,apiserver,111.44
1784812232.619429,2026-07-23T13:10:32.619445+00:00,TRANSITION_END,local1core,apiserver,111.44
1784812322.992968,2026-07-23T13:12:02.992973+00:00,TRANSITION_START,apiserver,local1core,0.00
1784812323.901741,2026-07-23T13:12:03.901753+00:00,TRANSITION_END,apiserver,local1core,0.00
1784812452.938550,2026-07-23T13:14:12.938555+00:00,TRANSITION_START,local1core,apiserver,75.22
1784812453.805546,2026-07-23T13:14:13.805557+00:00,TRANSITION_END,local1core,apiserver,75.22
1784812547.268525,2026-07-23T13:15:47.268530+00:00,TRANSITION_START,apiserver,local1core,1.62
1784812548.095170,2026-07-23T13:15:48.095181+00:00,TRANSITION_END,apiserver,local1core,1.62
1784812716.018945,2026-07-23T13:18:36.018951+00:00,TRANSITION_START,local1core,apiserver,84.14
1784812717.109146,2026-07-23T13:18:37.109158+00:00,TRANSITION_END,local1core,apiserver,84.14
1784812810.221160,2026-07-23T13:20:10.221165+00:00,TRANSITION_START,apiserver,local1core,1.10
1784812811.142542,2026-07-23T13:20:11.142552+00:00,TRANSITION_END,apiserver,local1core,1.10
1784813047.419592,2026-07-23T13:24:07.419598+00:00,TRANSITION_START,local1core,apiserver,66.44
1784813048.710704,2026-07-23T13:24:08.710722+00:00,TRANSITION_END,local1core,apiserver,66.44
1784813141.612897,2026-07-23T13:25:41.612903+00:00,TRANSITION_START,apiserver,local1core,0.00
1784813142.450688,2026-07-23T13:25:42.450707+00:00,TRANSITION_END,apiserver,local1core,0.00
1784813724.740212,2026-07-23T13:35:24.740218+00:00,TRANSITION_START,local1core,apiserver,92.79
1784813725.744907,2026-07-23T13:35:25.744919+00:00,TRANSITION_END,local1core,apiserver,92.79
1784813857.141182,2026-07-23T13:37:37.141187+00:00,TRANSITION_START,apiserver,local1core,1.41
1784813858.094527,2026-07-23T13:37:38.094538+00:00,TRANSITION_END,apiserver,local1core,1.41
1784813928.838791,2026-07-23T13:38:48.838800+00:00,TRANSITION_START,local1core,apiserver,59.58
1784813930.193419,2026-07-23T13:38:50.193450+00:00,TRANSITION_END,local1core,apiserver,59.58
1784814020.238611,2026-07-23T13:40:20.238617+00:00,TRANSITION_START,apiserver,local1core,0.00
1784814021.223386,2026-07-23T13:40:21.223396+00:00,TRANSITION_END,apiserver,local1core,0.00
1784814197.684208,2026-07-23T13:43:17.684216+00:00,TRANSITION_START,local1core,apiserver,70.15
1784814198.596262,2026-07-23T13:43:18.596285+00:00,TRANSITION_END,local1core,apiserver,70.15
1784814293.351636,2026-07-23T13:44:53.351642+00:00,TRANSITION_START,apiserver,local1core,0.00
1784814294.274820,2026-07-23T13:44:54.274830+00:00,TRANSITION_END,apiserver,local1core,0.00
1784814502.844004,2026-07-23T13:48:22.844010+00:00,TRANSITION_START,local1core,apiserver,99.08
1784814504.338769,2026-07-23T13:48:24.338780+00:00,TRANSITION_END,local1core,apiserver,99.08
1784814622.144338,2026-07-23T13:50:22.144344+00:00,TRANSITION_START,apiserver,local1core,1.00
1784814623.094992,2026-07-23T13:50:23.095003+00:00,TRANSITION_END,apiserver,local1core,1.00
1784814790.449769,2026-07-23T13:53:10.449776+00:00,TRANSITION_START,local1core,apiserver,86.89
1784814792.106476,2026-07-23T13:53:12.106503+00:00,TRANSITION_END,local1core,apiserver,86.89
1784814925.765448,2026-07-23T13:55:25.765453+00:00,TRANSITION_START,apiserver,local1core,0.00
1784814926.602888,2026-07-23T13:55:26.602898+00:00,TRANSITION_END,apiserver,local1core,0.00
1784815300.369682,2026-07-23T14:01:40.369687+00:00,TRANSITION_START,local1core,apiserver,116.78
1784815301.386225,2026-07-23T14:01:41.386235+00:00,TRANSITION_END,local1core,apiserver,116.78
1784815392.869138,2026-07-23T14:03:12.869144+00:00,TRANSITION_START,apiserver,local1core,1.56
1784815393.696389,2026-07-23T14:03:13.696399+00:00,TRANSITION_END,apiserver,local1core,1.56
1784815587.869012,2026-07-23T14:06:27.869016+00:00,TRANSITION_START,local1core,apiserver,130.22
1784815589.007809,2026-07-23T14:06:29.007824+00:00,TRANSITION_END,local1core,apiserver,130.22
1784815678.239416,2026-07-23T14:07:58.239422+00:00,TRANSITION_START,apiserver,local1core,0.00
1784815679.184704,2026-07-23T14:07:59.184714+00:00,TRANSITION_END,apiserver,local1core,0.00
1784896443.976053,2026-07-24T12:34:03.976060+00:00,TRANSITION_START,local1core,apiserver,91.28
1784896445.768779,2026-07-24T12:34:05.768801+00:00,TRANSITION_END,local1core,apiserver,91.28
1784896563.552879,2026-07-24T12:36:03.552884+00:00,TRANSITION_START,apiserver,local1core,0.00
1784896564.259709,2026-07-24T12:36:04.259720+00:00,TRANSITION_END,apiserver,local1core,0.00
1784896662.095430,2026-07-24T12:37:42.095445+00:00,TRANSITION_START,local1core,apiserver,68.86
1784896663.795553,2026-07-24T12:37:43.795570+00:00,TRANSITION_END,local1core,apiserver,68.86
1784896750.327214,2026-07-24T12:39:10.327219+00:00,TRANSITION_START,apiserver,local1core,0.00
1784896750.989346,2026-07-24T12:39:10.989356+00:00,TRANSITION_END,apiserver,local1core,0.00
1784896998.027575,2026-07-24T12:43:18.027582+00:00,TRANSITION_START,local1core,apiserver,73.67
1784896999.768956,2026-07-24T12:43:19.768968+00:00,TRANSITION_END,local1core,apiserver,73.67
1784897096.419248,2026-07-24T12:44:56.419254+00:00,TRANSITION_START,apiserver,local1core,0.00
1784897097.248534,2026-07-24T12:44:57.248544+00:00,TRANSITION_END,apiserver,local1core,0.00
1784897387.428942,2026-07-24T12:49:47.428948+00:00,TRANSITION_START,local1core,apiserver,72.19
1784897388.723284,2026-07-24T12:49:48.723304+00:00,TRANSITION_END,local1core,apiserver,72.19
1784897510.446148,2026-07-24T12:51:50.446153+00:00,TRANSITION_START,apiserver,local1core,0.00
1784897511.190917,2026-07-24T12:51:51.190930+00:00,TRANSITION_END,apiserver,local1core,0.00
1785162293.178999,2026-07-27T14:24:53.179014+00:00,CONTROLLER_STOP,,local1core,
1785332530.235391,2026-07-29T13:42:10.235413+00:00,CONTROLLER_START,,local1core,
1785332543.928069,2026-07-29T13:42:23.928077+00:00,TRANSITION_START,local1core,apiserver,110.80
1785332544.350155,2026-07-29T13:42:24.350165+00:00,CONTROLLER_STOP,,local1core,
1785416997.146070,2026-07-30T13:09:57.146104+00:00,CONTROLLER_START,,local1core,
1785417077.664595,2026-07-30T13:11:17.664606+00:00,TRANSITION_START,local1core,apiserver,62.51
1785417078.718673,2026-07-30T13:11:18.718687+00:00,TRANSITION_END,local1core,apiserver,62.51
1785417196.146317,2026-07-30T13:13:16.146323+00:00,TRANSITION_START,apiserver,local1core,0.00
1785417197.413707,2026-07-30T13:13:17.413717+00:00,TRANSITION_END,apiserver,local1core,0.00
1785417359.419350,2026-07-30T13:15:59.419356+00:00,TRANSITION_START,local1core,apiserver,73.87
1785417360.365241,2026-07-30T13:16:00.365251+00:00,TRANSITION_END,local1core,apiserver,73.87
1785417583.428797,2026-07-30T13:19:43.428802+00:00,TRANSITION_START,apiserver,local1core,0.00
1785417584.265922,2026-07-30T13:19:44.265933+00:00,TRANSITION_END,apiserver,local1core,0.00
1785417749.998272,2026-07-30T13:22:29.998277+00:00,TRANSITION_START,local1core,apiserver,66.23
1785417751.203414,2026-07-30T13:22:31.203428+00:00,TRANSITION_END,local1core,apiserver,66.23
1785417843.767308,2026-07-30T13:24:03.767315+00:00,TRANSITION_START,apiserver,local1core,0.00
1785417844.685912,2026-07-30T13:24:04.685922+00:00,TRANSITION_END,apiserver,local1core,0.00
1785418017.056017,2026-07-30T13:26:57.056023+00:00,TRANSITION_START,local1core,apiserver,101.96
1785418018.310873,2026-07-30T13:26:58.310888+00:00,TRANSITION_END,local1core,apiserver,101.96
1785418111.788117,2026-07-30T13:28:31.788124+00:00,TRANSITION_START,apiserver,local1core,0.00
1785418112.624349,2026-07-30T13:28:32.624361+00:00,TRANSITION_END,apiserver,local1core,0.00
1785418172.005073,2026-07-30T13:29:32.005078+00:00,TRANSITION_START,local1core,apiserver,123.05
1785418173.092023,2026-07-30T13:29:33.092033+00:00,TRANSITION_END,local1core,apiserver,123.05
1785418254.150971,2026-07-30T13:30:54.150976+00:00,TRANSITION_START,apiserver,local1core,0.00
1785418255.125978,2026-07-30T13:30:55.125989+00:00,TRANSITION_END,apiserver,local1core,0.00
1785418441.632748,2026-07-30T13:34:01.632755+00:00,TRANSITION_START,local1core,apiserver,64.98
1785418442.682653,2026-07-30T13:34:02.682665+00:00,TRANSITION_END,local1core,apiserver,64.98
1785418536.763351,2026-07-30T13:35:36.763356+00:00,TRANSITION_START,apiserver,local1core,0.00
1785418537.623145,2026-07-30T13:35:37.623155+00:00,TRANSITION_END,apiserver,local1core,0.00
1785429333.425913,2026-07-30T16:35:33.425923+00:00,CONTROLLER_STOP,,local1core,
1785592082.236502,2026-08-01T13:48:02.236524+00:00,CONTROLLER_START,,local1core,
1785695173.555869,2026-08-02T18:26:13.555882+00:00,CONTROLLER_STOP,,local1core,
1785855949.692762,2026-08-04T15:05:49.692779+00:00,CONTROLLER_START,,local1core,
1785856736.466500,2026-08-04T15:18:56.466512+00:00,CONTROLLER_START,,local1core,
1785856934.532814,2026-08-04T15:22:14.532836+00:00,CONTROLLER_START,,local1core,
1785857390.369510,2026-08-04T15:29:50.369535+00:00,CONTROLLER_START,,local1core,
1785858567.356919,2026-08-04T15:49:27.356925+00:00,TRANSITION_START,local1core,apiserver,69.51
1785858568.297702,2026-08-04T15:49:28.297713+00:00,TRANSITION_END,local1core,apiserver,69.51
1785858660.179447,2026-08-04T15:51:00.179455+00:00,TRANSITION_START,apiserver,local1core,0.00
1785858661.411925,2026-08-04T15:51:01.411937+00:00,TRANSITION_END,apiserver,local1core,0.00
1785858740.467383,2026-08-04T15:52:20.467388+00:00,TRANSITION_START,local1core,apiserver,81.26
1785858741.600162,2026-08-04T15:52:21.600171+00:00,TRANSITION_END,local1core,apiserver,81.26
1785858835.819700,2026-08-04T15:53:55.819705+00:00,TRANSITION_START,apiserver,local1core,0.84
1785858836.581151,2026-08-04T15:53:56.581162+00:00,TRANSITION_END,apiserver,local1core,0.84
1785858908.180604,2026-08-04T15:55:08.180609+00:00,TRANSITION_START,local1core,apiserver,89.03
1785858909.134450,2026-08-04T15:55:09.134486+00:00,TRANSITION_END,local1core,apiserver,89.03
1785858999.565386,2026-08-04T15:56:39.565391+00:00,TRANSITION_START,apiserver,local1core,0.00
1785859000.308648,2026-08-04T15:56:40.308658+00:00,TRANSITION_END,apiserver,local1core,0.00
1785859184.439303,2026-08-04T15:59:44.439309+00:00,TRANSITION_START,local1core,apiserver,96.04
1785859185.679993,2026-08-04T15:59:45.680005+00:00,TRANSITION_END,local1core,apiserver,96.04
1785859281.832659,2026-08-04T16:01:21.832664+00:00,TRANSITION_START,apiserver,local1core,0.87
1785859283.214113,2026-08-04T16:01:23.214124+00:00,TRANSITION_END,apiserver,local1core,0.87
1785859341.835671,2026-08-04T16:02:21.835676+00:00,TRANSITION_START,local1core,apiserver,140.56
1785859343.725520,2026-08-04T16:02:23.725535+00:00,TRANSITION_END,local1core,apiserver,140.56
1785859424.847418,2026-08-04T16:03:44.847424+00:00,TRANSITION_START,apiserver,local1core,0.00
1785859425.710752,2026-08-04T16:03:45.710763+00:00,TRANSITION_END,apiserver,local1core,0.00
1785859626.973345,2026-08-04T16:07:06.973351+00:00,TRANSITION_START,local1core,apiserver,102.70
1785859628.760086,2026-08-04T16:07:08.760099+00:00,TRANSITION_END,local1core,apiserver,102.70
1785859721.639088,2026-08-04T16:08:41.639092+00:00,TRANSITION_START,apiserver,local1core,0.84
1785859722.415274,2026-08-04T16:08:42.415286+00:00,TRANSITION_END,apiserver,local1core,0.84
1785859918.895276,2026-08-04T16:11:58.895284+00:00,TRANSITION_START,local1core,apiserver,91.52
1785859920.247936,2026-08-04T16:12:00.247950+00:00,TRANSITION_END,local1core,apiserver,91.52
1785860015.983319,2026-08-04T16:13:35.983324+00:00,TRANSITION_START,apiserver,local1core,0.85
1785860017.026488,2026-08-04T16:13:37.026498+00:00,TRANSITION_END,apiserver,local1core,0.85
1785915637.458544,2026-08-05T07:40:37.458572+00:00,CONTROLLER_START,,local1core,
1785933539.268137,2026-08-05T12:38:59.268155+00:00,CONTROLLER_STOP,,local1core,
1785978434.927407,2026-08-06T01:07:14.927428+00:00,CONTROLLER_START,,local1core,
1786004718.926340,2026-08-06T08:25:18.926361+00:00,CONTROLLER_START,,local1core,
1786345717.619732,2026-08-10T07:08:37.619756+00:00,CONTROLLER_START,,local1core,
1786352793.640156,2026-08-10T09:06:33.640174+00:00,CONTROLLER_STOP,,local1core,
1786375249.253697,2026-08-10T15:20:49.253720+00:00,CONTROLLER_START,,local1core,
1786375249.253851,2026-08-10T15:20:49.253854+00:00,INITIAL_APPLY_START,,local1core,
1786375249.949103,2026-08-10T15:20:49.949113+00:00,INITIAL_APPLY_END,,local1core,
1786614964.112791,2026-08-13T09:56:04.112811+00:00,CONTROLLER_START,,local1core,
1786614964.112940,2026-08-13T09:56:04.112945+00:00,INITIAL_APPLY_START,,local1core,
1786614964.615190,2026-08-13T09:56:04.615201+00:00,INITIAL_APPLY_END,,local1core,
1786615333.215306,2026-08-13T10:02:13.215328+00:00,CONTROLLER_START,,local1core,
1786615333.215457,2026-08-13T10:02:13.215460+00:00,INITIAL_APPLY_START,,local1core,
1786615334.235239,2026-08-13T10:02:14.235249+00:00,INITIAL_APPLY_END,,local1core,
1786856657.060249,2026-08-16T05:04:17.060271+00:00,CONTROLLER_START,,local1core,
1786856657.060385,2026-08-16T05:04:17.060388+00:00,INITIAL_APPLY_START,,local1core,
1786856658.000170,2026-08-16T05:04:18.000180+00:00,INITIAL_APPLY_END,,local1core,
1786882278.178739,2026-08-16T12:11:18.178755+00:00,CONTROLLER_STOP,,local1core,
1786882358.819356,2026-08-16T12:12:38.819378+00:00,CONTROLLER_START,,local1core,
1786882358.819516,2026-08-16T12:12:38.819520+00:00,INITIAL_APPLY_START,,local1core,
1786882359.634898,2026-08-16T12:12:39.634908+00:00,INITIAL_APPLY_END,,local1core,
1786882554.637299,2026-08-16T12:15:54.637316+00:00,CONTROLLER_STOP,,local1core,
1786953309.924916,2026-08-17T07:55:09.924940+00:00,CONTROLLER_START,,local1core,
1786953309.925056,2026-08-17T07:55:09.925058+00:00,INITIAL_APPLY_START,,local1core,
1786953310.807481,2026-08-17T07:55:10.807492+00:00,INITIAL_APPLY_END,,local1core,
1786954868.853352,2026-08-17T08:21:08.853361+00:00,TRANSITION_START,local1core,apiserver,103.61
1786954869.973168,2026-08-17T08:21:09.973180+00:00,TRANSITION_END,local1core,apiserver,103.61
1786954963.887290,2026-08-17T08:22:43.887295+00:00,TRANSITION_START,apiserver,local1core,0.00
1786954964.428571,2026-08-17T08:22:44.428581+00:00,TRANSITION_END,apiserver,local1core,0.00
1786955059.244573,2026-08-17T08:24:19.244578+00:00,TRANSITION_START,local1core,apiserver,73.36
1786955060.544235,2026-08-17T08:24:20.544264+00:00,TRANSITION_END,local1core,apiserver,73.36
1786955137.911735,2026-08-17T08:25:37.911739+00:00,TRANSITION_START,apiserver,local1core,0.59
1786955138.598562,2026-08-17T08:25:38.598573+00:00,TRANSITION_END,apiserver,local1core,0.59
1786955465.117959,2026-08-17T08:31:05.117985+00:00,CONTROLLER_START,,local1core,
1786955465.122724,2026-08-17T08:31:05.122738+00:00,INITIAL_APPLY_START,,local1core,
1786955466.388158,2026-08-17T08:31:06.388168+00:00,INITIAL_APPLY_END,,local1core,
1786955471.782647,2026-08-17T08:31:11.782653+00:00,TRANSITION_START,local1core,apiserver,103.98
1786955473.086312,2026-08-17T08:31:13.086323+00:00,TRANSITION_END,local1core,apiserver,103.98
1786955562.949702,2026-08-17T08:32:42.949708+00:00,TRANSITION_START,apiserver,local1core,0.00
1786955563.689766,2026-08-17T08:32:43.689777+00:00,TRANSITION_END,apiserver,local1core,0.00
1786955677.924283,2026-08-17T08:34:37.924288+00:00,TRANSITION_START,local1core,apiserver,66.49
1786955678.708743,2026-08-17T08:34:38.708754+00:00,TRANSITION_END,local1core,apiserver,66.49
1786955772.143282,2026-08-17T08:36:12.143287+00:00,TRANSITION_START,apiserver,local1core,0.78
1786955772.927904,2026-08-17T08:36:12.927915+00:00,TRANSITION_END,apiserver,local1core,0.78
1786955987.168849,2026-08-17T08:39:47.168858+00:00,TRANSITION_START,local1core,apiserver,81.01
1786955988.380653,2026-08-17T08:39:48.380668+00:00,TRANSITION_END,local1core,apiserver,81.01
1786956150.514008,2026-08-17T08:42:30.514018+00:00,TRANSITION_START,apiserver,local1core,0.00
1786956151.478449,2026-08-17T08:42:31.478461+00:00,TRANSITION_END,apiserver,local1core,0.00
1786956217.662948,2026-08-17T08:43:37.662954+00:00,TRANSITION_START,local1core,apiserver,117.26
1786956219.207240,2026-08-17T08:43:39.207252+00:00,TRANSITION_END,local1core,apiserver,117.26
1786956296.815257,2026-08-17T08:44:56.815261+00:00,TRANSITION_START,apiserver,local1core,0.89
1786956297.699510,2026-08-17T08:44:57.699521+00:00,TRANSITION_END,apiserver,local1core,0.89
1786956624.162000,2026-08-17T08:50:24.162005+00:00,TRANSITION_START,local1core,apiserver,72.56
1786956625.008653,2026-08-17T08:50:25.008663+00:00,TRANSITION_END,local1core,apiserver,72.56
1786956714.101141,2026-08-17T08:51:54.101146+00:00,TRANSITION_START,apiserver,local1core,0.80
1786956715.000750,2026-08-17T08:51:55.000760+00:00,TRANSITION_END,apiserver,local1core,0.80
1786956888.301588,2026-08-17T08:54:48.301595+00:00,TRANSITION_START,local1core,apiserver,86.99
1786956889.449129,2026-08-17T08:54:49.449141+00:00,TRANSITION_END,local1core,apiserver,86.99
1786956984.173645,2026-08-17T08:56:24.173650+00:00,TRANSITION_START,apiserver,local1core,0.86
1786956985.082572,2026-08-17T08:56:25.082589+00:00,TRANSITION_END,apiserver,local1core,0.86
1786959510.172800,2026-08-17T09:38:30.172806+00:00,TRANSITION_START,local1core,apiserver,75.30
1786959511.164691,2026-08-17T09:38:31.164705+00:00,TRANSITION_END,local1core,apiserver,75.30
1786959601.468852,2026-08-17T09:40:01.468857+00:00,TRANSITION_START,apiserver,local1core,0.88
1786959602.555233,2026-08-17T09:40:02.555244+00:00,TRANSITION_END,apiserver,local1core,0.88
1786959716.136917,2026-08-17T09:41:56.136922+00:00,TRANSITION_START,local1core,apiserver,63.76
1786959717.109976,2026-08-17T09:41:57.109989+00:00,TRANSITION_END,local1core,apiserver,63.76
1786959812.137380,2026-08-17T09:43:32.137385+00:00,TRANSITION_START,apiserver,local1core,0.87
1786959813.223448,2026-08-17T09:43:33.223459+00:00,TRANSITION_END,apiserver,local1core,0.87
1786959883.611844,2026-08-17T09:44:43.611849+00:00,TRANSITION_START,local1core,apiserver,68.80
1786959884.646034,2026-08-17T09:44:44.646052+00:00,TRANSITION_END,local1core,apiserver,68.80
1786959975.330852,2026-08-17T09:46:15.330858+00:00,TRANSITION_START,apiserver,local1core,0.00
1786959976.387855,2026-08-17T09:46:16.387866+00:00,TRANSITION_END,apiserver,local1core,0.00
1786960415.465252,2026-08-17T09:53:35.465262+00:00,TRANSITION_START,local1core,apiserver,56.24
1786960416.350083,2026-08-17T09:53:36.350095+00:00,TRANSITION_END,local1core,apiserver,56.24
1786960514.678418,2026-08-17T09:55:14.678424+00:00,TRANSITION_START,apiserver,local1core,0.74
