index,function,size,latency_ms,execution_time_sec,type,status
921,mobilenet,medium,31.4,0.02315,warm,200
922,pagerank,small,32.1,0.01735,warm,200
923,pagerank,small,29.3,0.016304,warm,200
924,grayscale,small,16.7,0.010738,warm,200
925,fetchdata,medium,85.5,0.080575,warm,200
926,mobilenet,large,23.1,0.018182,warm,200
927,fetchdata,medium,128.1,0.123143,warm,200
928,fastfouriertransform,small,22.4,0.004932,warm,200
929,mobilenet,medium,28.3,0.023079,warm,200
930,graphgen,medium,1588.4,0.014664,warm,200
931,graphgen,medium,684.6,0.014624,warm,200
932,pagerank,medium,164.7,0.122487,warm,200
933,genmatrix,medium,13.9,0.000292,warm,200
934,fastfouriertransform,medium,639.9,0.625341,warm,200
935,genmatrix,small,6.4,0.000142,warm,200
936,linpack,small,13.1,0.00508,warm,200
937,linpack,small,13.0,0.0051,warm,200
938,fetchdata,small,81.2,0.076207,warm,200
939,grayscale,medium,107.4,0.091965,warm,200
940,fetchdata,large,81.1,0.075852,warm,200
941,mobilenet,medium,31.6,0.024907,warm,200
942,resnet,small,154.4,0.148208,warm,200
943,fastfouriertransform,small,26.6,0.007603,warm,200
944,grayscale,small,16.8,0.010763,warm,200
945,fetchdata,large,89.4,0.083636,warm,200
946,resnet,large,123.1,0.118651,warm,200
947,matrixmul,small,23.2,0.00797,warm,200
948,grayscale,small,16.1,0.010698,warm,200
949,grayscale,small,16.0,0.010742,warm,200
950,graphgen,small,38.2,0.00407,warm,200
951,matrixmul,large,25.1,0.007945,warm,200
952,resnet,medium,126.8,0.120989,warm,200
953,fastfouriertransform,small,21.6,0.005157,warm,200
954,mobilenet,large,29.3,0.023291,warm,200
955,pagerank,small,23.7,0.01019,warm,200
956,pagerank,large,470.7,0.281097,warm,200
957,genmatrix,large,51.5,0.001197,warm,200
958,fetchdata,medium,135.8,0.130728,warm,200
959,matrixmul,small,24.0,0.008024,warm,200
960,resnet,medium,157.1,0.1517,warm,200
961,genmatrix,large,53.1,0.001203,warm,200
962,matrixmul,small,24.0,0.008017,warm,200
963,fastfouriertransform,large,22.7,0.005079,warm,200
964,linpack,small,16.6,0.007567,warm,200
965,pagerank,large,472.6,0.281793,warm,200
966,pagerank,large,451.3,0.280023,warm,200
967,pagerank,small,21.9,0.010089,warm,200
968,matrixmul,medium,522.9,0.508899,warm,200
969,graphgen,large,552.1,0.126108,warm,200
970,matrixmul,medium,555.6,0.542214,warm,200
971,grayscale,large,4504.6,4.310248,cold,200
