index,function,size,latency_ms,execution_time_sec,type,status
1825,matrixmul,small,18.8,0.005152,warm,200
1826,mobilenet,large,22.4,0.017994,warm,200
1827,resnet,small,128.0,0.123538,warm,200
1828,grayscale,large,6787.3,2.699653,cold,200
1829,fetchdata,small,82.4,0.078456,warm,200
1830,graphgen,large,869.3,0.070133,warm,200
1831,fetchdata,large,83.7,0.080016,warm,200
1832,graphgen,small,606.8,0.003478,warm,200
1833,mobilenet,medium,22.6,0.018393,warm,200
1834,pagerank,large,373.5,0.286175,warm,200
1835,grayscale,small,878.1,0.007461,warm,200
1836,linpack,small,12.9,0.005711,warm,200
1837,grayscale,large,12589.3,2.687396,cold,200
1838,fastfouriertransform,small,18.0,0.004908,warm,200
1839,linpack,medium,740.3,0.731498,warm,200
1840,grayscale,large,9051.7,2.673555,cold,200
1841,fastfouriertransform,medium,627.3,0.604162,warm,200
1842,resnet,large,136.8,0.13181,warm,200
1843,fastfouriertransform,medium,620.9,0.607914,warm,200
1844,mobilenet,large,22.3,0.01785,warm,200
1845,linpack,small,446.4,0.005091,warm,200
1846,mobilenet,large,30.0,0.023691,warm,200
1847,fetchdata,medium,79.6,0.074996,warm,200
1848,fetchdata,medium,99.0,0.075475,warm,200
1849,fastfouriertransform,large,18.0,0.004936,warm,200
1850,fastfouriertransform,small,277.4,0.004925,warm,200
1851,pagerank,small,19.0,0.010935,warm,200
1852,graphgen,small,88.2,0.003258,warm,200
1853,genmatrix,small,26.3,0.000139,warm,200
1854,mobilenet,medium,22.5,0.017846,warm,200
1855,matrixmul,small,17.5,0.005022,warm,200
1856,fetchdata,small,83.2,0.074295,warm,200
1857,pagerank,large,418.7,0.282837,warm,200
1858,matrixmul,small,18.0,0.005017,warm,200
1859,linpack,small,13.9,0.005144,warm,200
1860,matrixmul,large,18.0,0.005026,warm,200
1861,linpack,medium,659.3,0.652491,warm,200
1862,fastfouriertransform,large,18.1,0.005093,warm,200
1863,linpack,small,565.9,0.005067,warm,200
1864,pagerank,large,389.5,0.282713,warm,200
1865,graphgen,small,41.4,0.003111,warm,200
1866,genmatrix,large,55.0,0.001188,warm,200
1867,graphgen,medium,175.1,0.013416,warm,200
1868,fastfouriertransform,medium,616.1,0.603183,warm,200
1869,grayscale,medium,4720.3,0.059137,cold,200
1870,linpack,small,222.6,0.005089,warm,200
1871,pagerank,medium,95.9,0.046628,warm,200
1872,graphgen,medium,173.8,0.013807,warm,200
1873,genmatrix,medium,13.1,0.000286,warm,200
1874,resnet,medium,127.8,0.123179,warm,200
1875,resnet,small,218.2,0.135836,warm,200
1876,mobilenet,medium,29.4,0.023381,warm,200
1877,resnet,medium,237.0,0.121491,warm,200
1878,genmatrix,large,55.0,0.00119,warm,200
1879,pagerank,small,20.6,0.010828,warm,200
1880,fetchdata,small,78.2,0.074052,warm,200
1881,matrixmul,small,17.2,0.005026,warm,200
1882,genmatrix,large,56.0,0.001174,warm,200
1883,linpack,large,20.2,0.005099,warm,200
1884,graphgen,medium,173.7,0.013747,warm,200
1885,graphgen,large,904.1,0.080219,warm,200
1886,matrixmul,large,17.9,0.005183,warm,200
1887,grayscale,small,3541.5,0.006761,cold,200
1888,genmatrix,large,54.7,0.001174,warm,200
1889,genmatrix,medium,17.1,0.000292,warm,200
1890,mobilenet,small,31.4,0.025568,warm,200
1891,fetchdata,large,78.9,0.074474,warm,200
1892,grayscale,small,3546.3,0.007124,cold,200
1893,graphgen,small,186.2,0.00499,warm,200
1894,pagerank,medium,121.0,0.04939,warm,200
1895,linpack,medium,683.1,0.675121,warm,200
1896,fastfouriertransform,large,19.0,0.004957,warm,200
1897,fastfouriertransform,large,17.9,0.004994,warm,200
1898,fetchdata,large,87.2,0.082522,warm,200
1899,matrixmul,small,18.2,0.005038,warm,200
1900,resnet,large,197.6,0.189635,warm,200
1901,graphgen,medium,278.0,0.019287,warm,200
1902,fetchdata,small,97.6,0.086855,warm,200
1903,grayscale,medium,3331.5,0.057527,cold,200
1904,linpack,medium,893.5,0.659899,warm,200
1905,linpack,medium,1496.3,0.651448,warm,200
1906,mobilenet,medium,37.6,0.027905,warm,200
1907,genmatrix,small,9.2,0.000145,warm,200
1908,genmatrix,small,6.0,0.000134,warm,200
1909,resnet,small,169.7,0.165061,warm,200
1910,fetchdata,small,136.6,0.130125,warm,200
1911,fetchdata,medium,168.6,0.080171,warm,200
1912,mobilenet,medium,26.6,0.021372,warm,200
1913,matrixmul,small,18.1,0.005031,warm,200
1914,pagerank,medium,98.7,0.068314,warm,200
