function,payload,cpu_limit,memory_mb,payload_size_mb,output_size_mb,build_time_msec,total_cold_msec,cold_start_msec,execution_time_cold_msec,total_warm_avg_msec,warm_start_avg_msec,execution_time_warm_avg_msec,warm_iterations
encrypt,small,1.0,128,0.009564,.012803,710,2473,655.221000,1817.779000,2027.000000,115.017800,1911.982200,10
encrypt,medium,1.0,128,0.038175,.050950,710,2473,655.221000,1817.779000,8598.400000,130.037900,8468.362100,10
encrypt,large,1.0,128,0.209836,.083950,710,2473,655.221000,1817.779000,19317.100000,5137.105900,14179.994100,10
merge_aggregate,small,1.0,128,0.009946,.028888,598,585,560.953000,24.047000,129.900000,103.285200,26.614800,10
merge_aggregate,medium,1.0,128,0.039701,.115290,598,585,560.953000,24.047000,554.900000,106.849200,448.050800,10
merge_aggregate,large,1.0,128,0.218228,.633708,598,585,560.953000,24.047000,13032.300000,125.429500,12906.870500,10
single_string,small,1.0,128,0.028827,.009616,675,591,589.615000,1.385000,111.000000,109.893400,1.106600,10
single_string,medium,1.0,128,0.115230,.038226,675,591,589.615000,1.385000,131.600000,124.234800,7.365200,10
single_string,large,1.0,128,0.633647,.209887,675,591,589.615000,1.385000,154.900000,118.285900,36.614100,10
text_data_gen,small,1.0,128,0.000048,.005039,634,508,506.841000,1.159000,121.800000,119.993400,1.806600,10
text_data_gen,medium,1.0,128,0.000049,.019916,634,508,506.841000,1.159000,117.800000,110.565300,7.234700,10
text_data_gen,large,1.0,128,0.000050,.109179,634,508,506.841000,1.159000,154.400000,117.858900,36.541100,10
text_sort,small,1.0,128,0.004988,.024031,634,638,637.743000,.257000,120.900000,120.589500,.310500,10
text_sort,medium,1.0,128,0.019865,.095842,634,638,637.743000,.257000,116.600000,115.086900,1.513100,10
text_sort,large,1.0,128,0.109129,.526712,634,638,637.743000,.257000,120.000000,112.548600,7.451400,10
textsort1,small,1.0,128,0.010007,.010012,757,619,618.241000,.759000,103.900000,103.044700,.855300,10
textsort1,medium,1.0,128,0.014966,.014972,757,619,618.241000,.759000,104.700000,103.911500,.788500,10
textsort1,large,1.0,128,0.069516,.069521,757,619,618.241000,.759000,106.700000,100.385700,6.314300,10
trigger,small,1.0,128,0.000046,.005079,660,719,718.377000,.623000,114.000000,113.481400,.518600,10
trigger,medium,1.0,128,0.000047,.019958,660,719,718.377000,.623000,108.200000,106.437200,1.762800,10
trigger,large,1.0,128,0.000048,.109222,660,719,718.377000,.623000,122.900000,112.370300,10.529700,10
aggregate_lines,small,1.0,256,0.010002,.010011,612,659,658.92918968200683594000,.07081031799316406000,113.600000,113.551768,.048232,10
aggregate_lines,medium,1.0,256,0.039779,.039766,612,659,658.92918968200683594000,.07081031799316406000,113.200000,112.908868,.291132,10
aggregate_lines,large,1.0,256,0.218306,.218293,612,659,658.92918968200683594000,.07081031799316406000,112.900000,111.994487,.905513,10
encrypt,small,1.0,256,0.009564,.012803,727,2838,641.271000,2196.729000,2067.600000,118.140900,1949.459100,10
encrypt,medium,1.0,256,0.038175,.050950,727,2838,641.271000,2196.729000,8371.200000,115.103600,8256.096400,10
encrypt,large,1.0,256,0.209836,.111934,727,2838,641.271000,2196.729000,19497.700000,914.857700,18582.842300,10
merge_aggregate,small,1.0,256,0.009946,.028887,655,692,661.466000,30.534000,149.900000,128.825900,21.074100,10
merge_aggregate,medium,1.0,256,0.039701,.115290,655,692,661.466000,30.534000,465.800000,122.722300,343.077700,10
merge_aggregate,large,1.0,256,0.218228,.633708,655,692,661.466000,30.534000,11066.600000,138.711600,10927.888400,10
single_string,small,1.0,256,0.028827,.009615,664,600,598.504000,1.496000,103.900000,102.787800,1.112200,10
single_string,medium,1.0,256,0.115230,.038226,664,600,598.504000,1.496000,123.500000,115.803700,7.696300,10
single_string,large,1.0,256,0.633647,.209888,664,600,598.504000,1.496000,152.100000,118.330000,33.770000,10
text_data_gen,small,1.0,256,0.000048,.005038,601,602,598.046000,3.954000,117.500000,116.218200,1.281800,10
text_data_gen,medium,1.0,256,0.000049,.019916,601,602,598.046000,3.954000,121.900000,115.382500,6.517500,10
text_data_gen,large,1.0,256,0.000050,.109179,601,602,598.046000,3.954000,146.200000,114.375900,31.824100,10
text_sort,small,1.0,256,0.004988,.024032,712,670,669.741000,.259000,118.700000,118.246200,.453800,10
text_sort,medium,1.0,256,0.019865,.095842,712,670,669.741000,.259000,118.900000,117.523100,1.376900,10
text_sort,large,1.0,256,0.109129,.526713,712,670,669.741000,.259000,149.100000,137.025700,12.074300,10
textsort1,small,1.0,256,0.010007,.010013,626,656,655.456000,.544000,112.600000,111.987600,.612400,10
textsort1,medium,1.0,256,0.014966,.014971,626,656,655.456000,.544000,125.900000,125.060800,.839200,10
textsort1,large,1.0,256,0.069516,.069521,626,656,655.456000,.544000,133.700000,126.242100,7.457900,10
trigger,small,1.0,256,0.000046,.005080,572,524,523.657000,.343000,108.900000,108.419700,.480300,10
trigger,medium,1.0,256,0.000047,.019958,572,524,523.657000,.343000,120.700000,118.622500,2.077500,10
trigger,large,1.0,256,0.000048,.109223,572,524,523.657000,.343000,139.600000,128.697100,10.902900,10
aggregate_lines,small,1.0,512,0.010002,.010011,765,709,708.93848800659179688000,.06151199340820312000,127.200000,127.159326,.040674,10
aggregate_lines,medium,1.0,512,0.039779,.039765,765,709,708.93848800659179688000,.06151199340820312000,128.400000,128.303822,.096178,10
aggregate_lines,large,1.0,512,0.218306,.218293,765,709,708.93848800659179688000,.06151199340820312000,135.800000,134.215351,1.584649,10
encrypt,small,1.0,512,0.009564,.012803,544,2748,581.67000,2166.33000,2058.900000,112.709400,1946.190600,10
encrypt,medium,1.0,512,0.038175,.050950,544,2748,581.67000,2166.33000,8409.000000,116.956200,8292.043800,10
encrypt,large,1.0,512,0.209836,.111934,544,2748,581.67000,2166.33000,19461.200000,1021.272100,18439.927900,10
merge_aggregate,small,1.0,512,0.009946,.028888,555,569,544.339000,24.661000,136.300000,113.638000,22.662000,10
merge_aggregate,medium,1.0,512,0.039701,.115290,555,569,544.339000,24.661000,507.400000,119.956400,387.443600,10
merge_aggregate,large,1.0,512,0.218228,.633708,555,569,544.339000,24.661000,11028.600000,132.606900,10895.993100,10
single_string,small,1.0,512,0.028827,.009615,714,640,638.652000,1.348000,118.400000,116.561100,1.838900,10
single_string,medium,1.0,512,0.115230,.038226,714,640,638.652000,1.348000,134.200000,124.575000,9.625000,10
single_string,large,1.0,512,0.633647,.209887,714,640,638.652000,1.348000,147.700000,110.868700,36.831300,10
text_data_gen,small,1.0,512,0.000048,.005039,602,638,636.864000,1.136000,109.000000,107.074500,1.925500,10
text_data_gen,medium,1.0,512,0.000049,.019916,602,638,636.864000,1.136000,110.800000,105.363500,5.436500,10
text_data_gen,large,1.0,512,0.000050,.109179,602,638,636.864000,1.136000,164.000000,127.882700,36.117300,10
text_sort,small,1.0,512,0.004988,.024031,664,600,599.632000,.368000,113.100000,112.611500,.488500,10
text_sort,medium,1.0,512,0.019865,.095843,664,600,599.632000,.368000,125.400000,124.180800,1.219200,10
text_sort,large,1.0,512,0.109129,.526712,664,600,599.632000,.368000,142.200000,133.710000,8.490000,10
textsort1,small,1.0,512,0.010007,.010012,747,725,724.232000,.768000,126.700000,126.056100,.643900,10
textsort1,medium,1.0,512,0.014966,.014972,747,725,724.232000,.768000,126.100000,125.012100,1.087900,10
textsort1,large,1.0,512,0.069516,.069521,747,725,724.232000,.768000,144.400000,135.027700,9.372300,10
trigger,small,1.0,512,0.000046,.005080,610,584,583.638000,.362000,122.200000,121.764500,.435500,10
trigger,medium,1.0,512,0.000047,.019958,610,584,583.638000,.362000,101.800000,99.775700,2.024300,10
trigger,large,1.0,512,0.000048,.109223,610,584,583.638000,.362000,124.200000,114.106200,10.093800,10
aggregate_lines,small,1.5,128,0.010002,.010011,577,612,611.93968009948730469000,.06031990051269531000,115.200000,115.155845,.044155,10
aggregate_lines,medium,1.5,128,0.039779,.039766,577,612,611.93968009948730469000,.06031990051269531000,131.900000,131.764769,.135231,10
aggregate_lines,large,1.5,128,0.218306,.218293,577,612,611.93968009948730469000,.06031990051269531000,137.100000,135.630221,1.469779,10
encrypt,small,1.5,128,0.009564,.012803,862,2492,658.222000,1833.778000,2002.100000,131.679700,1870.420300,10
encrypt,medium,1.5,128,0.038175,.050951,862,2492,658.222000,1833.778000,7600.000000,131.610100,7468.389900,10
encrypt,large,1.5,128,0.209836,.111934,862,2492,658.222000,1833.778000,20327.200000,3874.158100,16453.041900,10
merge_aggregate,small,1.5,128,0.009946,.028888,1010,718,698.37000,19.63000,145.000000,124.732100,20.267900,10
merge_aggregate,medium,1.5,128,0.039701,.115291,1010,718,698.37000,19.63000,443.300000,125.957300,317.342700,10
merge_aggregate,large,1.5,128,0.218228,.633707,1010,718,698.37000,19.63000,9953.200000,137.657000,9815.543000,10
single_string,small,1.5,128,0.028827,.009615,860,643,641.201000,1.799000,128.300000,126.861200,1.438800,10
single_string,medium,1.5,128,0.115230,.038225,860,643,641.201000,1.799000,138.200000,132.885800,5.314200,10
single_string,large,1.5,128,0.633647,.209887,860,643,641.201000,1.799000,169.300000,130.101200,39.198800,10
text_data_gen,small,1.5,128,0.000048,.005039,690,750,748.903000,1.097000,121.600000,119.993400,1.606600,10
text_data_gen,medium,1.5,128,0.000049,.019916,690,750,748.903000,1.097000,130.400000,126.042100,4.357900,10
text_data_gen,large,1.5,128,0.000050,.109179,690,750,748.903000,1.097000,160.100000,134.305100,25.794900,10
text_sort,small,1.5,128,0.004988,.024031,672,684,683.717000,.283000,136.600000,136.285700,.314300,10
text_sort,medium,1.5,128,0.019865,.095842,672,684,683.717000,.283000,129.600000,127.662300,1.937700,10
text_sort,large,1.5,128,0.109129,.526713,672,684,683.717000,.283000,158.100000,146.986800,11.113200,10
textsort1,small,1.5,128,0.010007,.010013,646,644,643.485000,.515000,122.000000,121.174900,.825100,10
textsort1,medium,1.5,128,0.014966,.014972,646,644,643.485000,.515000,126.300000,125.329700,.970300,10
textsort1,large,1.5,128,0.069516,.069522,646,644,643.485000,.515000,123.300000,116.938600,6.361400,10
trigger,small,1.5,128,0.000046,.005080,612,612,611.667000,.333000,121.000000,120.487100,.512900,10
trigger,medium,1.5,128,0.000047,.019958,612,612,611.667000,.333000,133.300000,131.669700,1.630300,10
trigger,large,1.5,128,0.000048,.109223,612,612,611.667000,.333000,126.300000,118.621800,7.678200,10
aggregate_lines,small,1.5,256,0.010002,.010011,612,702,701.93801116943359375000,.06198883056640625000,114.400000,114.332361,.067639,10
aggregate_lines,medium,1.5,256,0.039779,.039766,612,702,701.93801116943359375000,.06198883056640625000,118.800000,118.685107,.114893,10
aggregate_lines,large,1.5,256,0.218306,.218293,612,702,701.93801116943359375000,.06198883056640625000,128.100000,126.568376,1.531624,10
encrypt,small,1.5,256,0.009564,.012803,591,2528,631.184000,1896.816000,1980.100000,122.744700,1857.355300,10
encrypt,medium,1.5,256,0.038175,.050950,591,2528,631.184000,1896.816000,7495.200000,122.931600,7372.268400,10
encrypt,large,1.5,256,0.209836,.139917,591,2528,631.184000,1896.816000,20448.400000,445.787100,20002.612900,10
merge_aggregate,small,1.5,256,0.009946,.028887,1080,654,635.135000,18.865000,143.800000,120.510800,23.289200,10
