index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
1813,1813,linpack,large,warm,200,539.37,539.36,0.0,5.01,534.35,False,,0.0,0.32,3.97,0.72,5.01,6
1814,1814,linpack,small,warm,200,653.92,653.92,0.0,5.05,648.87,False,,0.0,0.34,3.98,0.73,5.05,7
1815,1815,genmatrix,small,warm,200,11.05,8.56,2.5,0.15,8.41,False,,0.0,0.02,,0.12,0.15,7
1816,1816,genmatrix,small,warm,200,11.63,8.21,3.42,0.13,8.08,False,,0.0,0.02,,0.1,0.13,7
1817,1817,linpack,small,warm,200,511.62,511.61,0.01,5.04,506.57,False,,0.0,0.32,3.99,0.72,5.04,7
1818,1818,fetchdata,large,warm,200,88.43,88.43,0.01,81.07,7.35,False,81.04,0.0,0.02,0.0,,81.07,8
1819,1819,genmatrix,medium,warm,200,19.68,13.34,6.34,0.28,13.06,False,,0.0,0.02,,0.26,0.28,8
1820,1820,linpack,large,warm,200,195.24,195.24,0.01,5.03,190.21,False,,0.0,0.35,3.95,0.73,5.03,7
1821,1821,fastfouriertransform,medium,warm,200,1074.62,1074.61,0.0,602.92,471.69,False,,0.0,3.78,0.0,599.13,602.92,8
1822,1822,matrixmul,large,warm,200,24.32,20.43,3.89,4.86,15.56,False,,0.0,0.34,3.94,0.57,4.86,9
1823,1823,fetchdata,small,warm,200,90.01,90.01,0.01,83.05,6.96,False,83.01,0.0,0.02,0.0,,83.04,9
1824,1824,fetchdata,small,warm,200,124.11,124.11,0.01,82.24,41.87,False,82.21,0.0,0.02,0.0,,82.23,7
1825,1825,matrixmul,small,warm,200,26.72,21.0,5.71,4.99,16.02,False,,0.0,0.33,4.09,0.56,4.98,7
1826,1826,matrixmul,large,warm,200,25.7,22.49,3.21,4.87,17.62,False,,0.0,0.34,3.96,0.56,4.87,7
1827,1827,linpack,small,warm,200,17.7,17.69,0.01,5.09,12.6,False,,0.0,0.37,3.99,0.73,5.09,5
1828,1828,genmatrix,large,warm,200,64.43,46.53,17.9,1.23,45.31,False,,0.0,0.03,,1.2,1.23,3
1829,1829,fetchdata,small,warm,200,89.51,89.51,0.0,83.1,6.41,False,83.07,0.0,0.02,0.0,,83.1,4
1830,1830,fastfouriertransform,large,warm,200,632.43,632.42,0.01,4.62,627.81,False,,0.0,3.85,0.0,0.76,4.62,4
1831,1831,fetchdata,large,warm,200,86.95,86.95,0.0,80.58,6.37,False,80.55,0.0,0.02,0.0,,80.58,3
1832,1832,fastfouriertransform,small,warm,200,537.41,537.41,0.01,4.51,532.9,False,,0.0,3.81,0.0,0.69,4.51,4
1833,1833,matrixmul,medium,warm,200,535.34,530.82,4.53,514.36,16.46,False,,0.0,0.37,4.02,509.96,514.35,4
1834,1834,linpack,large,warm,200,15.22,15.22,0.01,5.06,10.16,False,,0.0,0.35,3.97,0.73,5.06,5
1835,1835,genmatrix,small,warm,200,11.3,9.66,1.64,0.14,9.52,False,,0.0,0.02,,0.11,0.14,5
1836,1836,genmatrix,small,warm,200,11.15,8.96,2.18,0.14,8.83,False,,0.0,0.03,,0.11,0.14,5
1837,1837,genmatrix,large,warm,200,70.07,42.97,27.1,1.13,41.84,False,,0.0,0.02,,1.1,1.12,5
1838,1838,fastfouriertransform,small,warm,200,242.28,242.28,0.0,4.5,237.77,False,,0.0,3.8,0.0,0.7,4.5,6
1839,1839,genmatrix,medium,warm,200,17.56,12.37,5.19,0.24,12.13,False,,0.0,0.02,,0.21,0.24,6
1840,1840,genmatrix,large,warm,200,58.81,38.28,20.53,0.97,37.31,False,,0.0,0.02,,0.95,0.97,6
1841,1841,fastfouriertransform,medium,warm,200,697.67,697.67,0.01,602.87,94.79,False,,0.0,3.82,0.0,599.05,602.87,7
1842,1842,linpack,large,warm,200,18.4,18.4,0.0,7.97,10.43,False,,0.0,0.51,6.31,1.15,7.97,7
1843,1843,fastfouriertransform,medium,warm,200,1216.31,1216.3,0.01,617.11,599.19,False,,0.0,3.79,0.0,613.32,617.11,3
1844,1844,matrixmul,large,warm,200,28.8,23.53,5.27,7.32,16.21,False,,0.0,0.5,5.99,0.82,7.31,3
1845,1845,genmatrix,small,warm,200,11.46,8.72,2.74,0.14,8.58,False,,0.0,0.02,,0.11,0.14,3
1846,1846,matrixmul,large,warm,200,25.81,21.09,4.72,4.98,16.11,False,,0.0,0.36,4.03,0.59,4.98,3
1847,1847,fetchdata,medium,warm,200,141.07,141.06,0.01,134.07,6.99,False,134.04,0.0,0.02,0.0,,134.07,3
1848,1848,fetchdata,medium,warm,200,174.45,174.45,0.0,81.04,93.41,False,81.01,0.0,0.02,0.0,,81.04,4
1849,1849,fastfouriertransform,large,warm,200,922.41,922.41,0.01,4.53,917.87,False,,0.0,3.8,0.0,0.73,4.53,5
1850,1850,fastfouriertransform,small,warm,200,877.83,877.82,0.01,4.49,873.33,False,,0.0,3.79,0.0,0.7,4.49,5
1851,1851,linpack,small,warm,200,20.11,20.1,0.0,8.03,12.07,False,,0.0,0.51,6.36,1.15,8.03,6
1852,1852,fastfouriertransform,small,warm,200,784.78,784.77,0.01,4.54,780.23,False,,0.0,3.8,0.0,0.74,4.54,5
1853,1853,fetchdata,small,warm,200,88.82,88.81,0.01,81.9,6.91,False,81.87,0.0,0.02,0.0,,81.9,6
1854,1854,matrixmul,medium,warm,200,534.49,527.92,6.57,512.56,15.36,False,,0.0,0.37,4.0,508.18,512.56,7
1855,1855,matrixmul,small,warm,200,24.76,20.95,3.81,4.89,16.06,False,,0.0,0.34,3.99,0.56,4.89,6
1856,1856,fetchdata,small,warm,200,89.25,89.25,0.0,82.19,7.06,False,82.16,0.0,0.02,0.0,,82.19,6
1857,1857,linpack,large,warm,200,18.78,18.77,0.01,8.01,10.77,False,,0.0,0.48,6.37,1.15,8.0,7
1858,1858,matrixmul,small,warm,200,25.62,19.41,6.21,4.93,14.48,False,,0.0,0.34,4.02,0.56,4.93,6
1859,1859,genmatrix,small,warm,200,11.04,8.4,2.65,0.14,8.25,False,,0.0,0.03,,0.11,0.14,6
1860,1860,matrixmul,large,warm,200,30.31,26.16,4.15,7.78,18.37,False,,0.0,0.52,6.39,0.87,7.78,6
1861,1861,genmatrix,medium,warm,200,19.13,13.63,5.5,0.29,13.34,False,,0.0,0.02,,0.26,0.29,6
1862,1862,fastfouriertransform,large,warm,200,291.46,291.46,0.0,4.51,286.95,False,,0.0,3.8,0.0,0.7,4.5,6
1863,1863,genmatrix,small,warm,200,11.05,8.3,2.75,0.13,8.17,False,,0.0,0.02,,0.1,0.13,7
1864,1864,linpack,large,warm,200,16.37,16.37,0.01,5.06,11.31,False,,0.0,0.35,3.97,0.73,5.06,7
1865,1865,fastfouriertransform,small,warm,200,146.54,146.53,0.0,4.52,142.01,False,,0.0,3.78,0.0,0.74,4.52,6
1866,1866,fetchdata,large,warm,200,91.04,91.04,0.01,83.48,7.56,False,83.45,0.0,0.02,0.0,,83.48,7
1867,1867,fastfouriertransform,medium,warm,200,651.36,651.35,0.01,603.57,47.78,False,,0.0,3.79,0.0,599.77,603.57,8
1868,1868,fastfouriertransform,medium,warm,200,1206.14,1206.13,0.0,602.03,604.11,False,,0.0,3.8,0.0,598.23,602.03,2
1869,1869,genmatrix,medium,warm,200,19.66,14.08,5.58,0.3,13.79,False,,0.0,0.02,,0.27,0.29,3
