index,function,size,latency_ms,execution_time_sec,type,status
294,genmatrix,small,8.0,0.000136,warm,200
295,mobilenet,small,31.9,0.023633,warm,200
296,mobilenet,large,30.6,0.022987,warm,200
297,pagerank,large,432.5,0.356441,warm,200
298,resnet,medium,154.9,0.148783,warm,200
299,mobilenet,large,43.3,0.038137,warm,200
300,pagerank,medium,68.0,0.047235,warm,200
301,pagerank,medium,117.0,0.046937,warm,200
302,fetchdata,large,103.5,0.097758,warm,200
303,mobilenet,medium,22.9,0.017676,warm,200
304,grayscale,small,18.4,0.011077,warm,200
305,grayscale,large,2823.5,2.709289,cold,200
306,mobilenet,large,28.7,0.022989,warm,200
307,genmatrix,medium,15.6,0.000283,warm,200
308,mobilenet,small,29.2,0.022949,warm,200
309,grayscale,small,15.0,0.007259,warm,200
310,grayscale,medium,71.8,0.05799,warm,200
311,linpack,large,17.4,0.008105,warm,200
312,fastfouriertransform,small,22.8,0.007689,warm,200
313,fetchdata,small,95.0,0.089292,warm,200
314,matrixmul,large,20.3,0.005029,warm,200
315,fetchdata,large,97.1,0.091925,warm,200
316,genmatrix,small,7.9,0.000138,warm,200
317,matrixmul,medium,554.8,0.538757,warm,200
318,linpack,large,18.0,0.008076,warm,200
319,mobilenet,medium,67.1,0.060958,warm,200
320,graphgen,small,53.5,0.004496,warm,200
321,matrixmul,medium,523.9,0.507253,warm,200
322,resnet,large,157.4,0.148429,warm,200
323,graphgen,large,825.0,0.064913,warm,200
324,matrixmul,medium,523.9,0.506552,warm,200
325,graphgen,medium,172.2,0.012703,warm,200
326,grayscale,medium,70.7,0.057846,warm,200
327,matrixmul,large,19.3,0.005043,warm,200
328,pagerank,large,396.1,0.305497,warm,200
329,genmatrix,medium,16.6,0.000286,warm,200
330,genmatrix,medium,15.0,0.000283,warm,200
331,matrixmul,medium,563.7,0.54653,warm,200
332,graphgen,medium,209.6,0.019848,warm,200
333,linpack,large,16.7,0.008187,warm,200
334,matrixmul,large,20.6,0.005004,warm,200
335,fetchdata,medium,151.7,0.146544,warm,200
336,fetchdata,large,92.8,0.087976,warm,200
337,pagerank,small,26.4,0.016073,warm,200
338,matrixmul,large,27.9,0.008004,warm,200
339,resnet,large,128.6,0.122946,warm,200
340,graphgen,small,53.5,0.004498,warm,200
341,matrixmul,small,27.5,0.008,warm,200
342,mobilenet,small,32.7,0.027215,warm,200
343,graphgen,medium,201.6,0.019843,warm,200
344,matrixmul,medium,542.2,0.526361,warm,200
345,genmatrix,medium,18.2,0.000204,warm,200
346,linpack,medium,687.2,0.678038,warm,200
347,matrixmul,medium,525.7,0.508472,warm,200
348,matrixmul,medium,522.6,0.505926,warm,200
349,fastfouriertransform,medium,644.3,0.629858,warm,200
350,graphgen,large,858.1,0.091949,warm,200
351,pagerank,small,26.0,0.016078,warm,200
352,linpack,small,16.7,0.008102,warm,200
353,fastfouriertransform,large,19.3,0.004915,warm,200
354,graphgen,small,41.0,0.002795,warm,200
355,genmatrix,small,9.1,0.000137,warm,200
356,graphgen,large,851.5,0.086391,warm,200
357,fetchdata,small,133.6,0.128923,warm,200
358,fetchdata,medium,86.7,0.081879,warm,200
359,fastfouriertransform,large,19.3,0.004957,warm,200
360,genmatrix,medium,11.0,0.000195,warm,200
361,grayscale,medium,71.0,0.057453,warm,200
362,fetchdata,large,97.4,0.091944,warm,200
363,resnet,large,126.4,0.120804,warm,200
364,fastfouriertransform,small,22.2,0.00772,warm,200
365,grayscale,small,19.3,0.010929,warm,200
366,resnet,small,152.5,0.147388,warm,200
367,grayscale,large,2827.7,2.713937,cold,200
368,matrixmul,medium,543.6,0.528589,warm,200
369,genmatrix,small,7.7,0.000166,warm,200
370,resnet,large,126.5,0.120825,warm,200
371,genmatrix,small,6.5,0.000102,warm,200
372,grayscale,large,2830.3,2.712994,cold,200
373,resnet,small,126.6,0.120939,warm,200
374,resnet,small,130.8,0.120828,warm,200
375,linpack,large,13.9,0.005058,warm,200
376,matrixmul,large,28.0,0.00803,warm,200
377,linpack,small,13.7,0.005112,warm,200
378,pagerank,large,427.5,0.286155,warm,200
379,linpack,small,17.9,0.008025,warm,200
380,matrixmul,medium,557.1,0.542178,warm,200
381,fastfouriertransform,medium,616.8,0.602393,warm,200
382,linpack,large,17.2,0.008142,warm,200
383,mobilenet,large,29.3,0.023076,warm,200
384,fetchdata,medium,153.6,0.14826,warm,200
385,fetchdata,large,86.2,0.081359,warm,200
386,pagerank,large,398.2,0.305674,warm,200
387,grayscale,large,2825.1,2.708568,cold,200
388,pagerank,medium,68.7,0.047793,warm,200
389,mobilenet,medium,26.8,0.017673,warm,200
390,resnet,medium,153.4,0.14707,warm,200
391,linpack,small,13.8,0.005055,warm,200
392,fastfouriertransform,medium,617.5,0.603013,warm,200
393,mobilenet,small,27.7,0.0229,warm,200
394,mobilenet,large,28.3,0.023054,warm,200
395,resnet,large,126.5,0.120199,warm,200
396,matrixmul,medium,557.7,0.541545,warm,200
397,graphgen,medium,174.8,0.012719,warm,200
398,linpack,small,17.7,0.008016,warm,200
399,mobilenet,small,27.7,0.022346,warm,200
400,linpack,medium,651.9,0.642581,warm,200
401,linpack,medium,652.2,0.643216,warm,200
402,resnet,large,164.0,0.158453,warm,200
403,grayscale,large,2829.1,2.713551,cold,200
404,graphgen,large,848.4,0.09151,warm,200
405,genmatrix,small,8.5,0.000137,warm,200
406,genmatrix,large,49.8,0.001215,warm,200
407,matrixmul,medium,560.2,0.542467,warm,200
408,pagerank,small,19.0,0.010389,warm,200
409,mobilenet,large,29.4,0.023369,warm,200
410,mobilenet,medium,66.0,0.060322,warm,200
411,graphgen,small,41.2,0.002847,warm,200
412,grayscale,small,14.4,0.006942,warm,200
413,matrixmul,large,27.1,0.008016,warm,200
414,genmatrix,medium,17.3,0.000275,warm,200
415,resnet,medium,149.4,0.142989,warm,200
416,mobilenet,large,29.7,0.023158,warm,200
417,pagerank,medium,117.7,0.047651,warm,200
418,matrixmul,large,27.8,0.008188,warm,200
419,pagerank,medium,68.5,0.046219,warm,200
420,linpack,large,17.4,0.008125,warm,200
421,mobilenet,medium,29.6,0.022918,warm,200
422,grayscale,medium,71.6,0.057393,warm,200
423,genmatrix,small,7.0,0.0001,warm,200
424,genmatrix,medium,16.0,0.000286,warm,200
425,fastfouriertransform,large,22.6,0.007697,warm,200
426,pagerank,large,392.3,0.299037,warm,200
427,fetchdata,small,156.2,0.150985,warm,200
428,genmatrix,large,49.5,0.001199,warm,200
429,mobilenet,medium,28.6,0.022923,warm,200
430,resnet,large,151.3,0.144872,warm,200
431,resnet,medium,125.8,0.120559,warm,200
432,fastfouriertransform,small,18.8,0.004911,warm,200
433,grayscale,small,13.5,0.006961,warm,200
434,linpack,small,16.8,0.008022,warm,200
435,grayscale,small,13.7,0.006868,warm,200
436,pagerank,small,26.8,0.016052,warm,200
437,grayscale,small,14.0,0.0069,warm,200
438,graphgen,large,827.1,0.063407,warm,200
439,grayscale,large,2830.6,2.715806,cold,200
440,fetchdata,large,97.0,0.091498,warm,200
441,mobilenet,small,28.9,0.022953,warm,200
442,graphgen,large,845.2,0.086842,warm,200
443,grayscale,medium,70.9,0.058158,warm,200
444,mobilenet,medium,28.0,0.022702,warm,200
445,linpack,small,17.7,0.008038,warm,200
446,graphgen,medium,206.0,0.04551,warm,200
447,mobilenet,small,27.9,0.022843,warm,200
