index,function,size,latency_ms,execution_time_sec,type,status
1551,resnet,small,164.1,0.159517,warm,200
1552,grayscale,medium,83.2,0.057446,warm,200
1553,resnet,large,127.6,0.122563,warm,200
1554,genmatrix,medium,9.7,0.0002,warm,200
1555,linpack,small,12.0,0.005112,warm,200
1556,matrixmul,medium,520.4,0.508319,warm,200
1557,grayscale,large,2889.3,2.70804,cold,200
1558,mobilenet,large,31.3,0.02602,warm,200
1559,genmatrix,medium,9.5,0.000214,warm,200
1560,matrixmul,medium,526.9,0.513224,warm,200
1561,matrixmul,medium,859.7,0.52577,warm,200
1562,fastfouriertransform,large,22.8,0.004905,warm,200
1563,genmatrix,large,40.0,0.000796,warm,200
1564,pagerank,small,27.8,0.016842,warm,200
1565,pagerank,small,58.5,0.015277,warm,200
1566,mobilenet,large,33.4,0.023458,warm,200
1567,genmatrix,medium,10.0,0.000198,warm,200
1568,grayscale,large,3394.6,2.67088,cold,200
1569,fastfouriertransform,medium,663.3,0.637965,warm,200
1570,mobilenet,small,33.2,0.024199,warm,200
1571,grayscale,small,2682.0,0.006803,cold,200
1572,grayscale,large,5309.7,2.676861,cold,200
1573,fetchdata,large,127.7,0.122672,warm,200
1574,matrixmul,medium,537.0,0.524113,warm,200
1575,fastfouriertransform,medium,652.8,0.639086,warm,200
1576,resnet,medium,144.3,0.139394,warm,200
1577,resnet,medium,127.5,0.123199,warm,200
1578,pagerank,large,410.9,0.30296,warm,200
1579,matrixmul,large,19.6,0.005002,warm,200
1580,graphgen,medium,147.5,0.019546,warm,200
1581,pagerank,large,423.8,0.283824,warm,200
1582,fastfouriertransform,small,21.3,0.007709,warm,200
1583,genmatrix,large,54.2,0.001209,warm,200
1584,linpack,small,12.0,0.005077,warm,200
1585,resnet,small,127.4,0.120619,warm,200
1586,resnet,large,127.5,0.120811,warm,200
1587,matrixmul,medium,554.6,0.542289,warm,200
1588,matrixmul,small,367.2,0.004984,warm,200
1589,graphgen,small,28.0,0.003045,warm,200
1590,grayscale,small,1602.9,0.006802,warm,200
1591,pagerank,large,373.2,0.283466,warm,200
1592,pagerank,large,540.3,0.279954,warm,200
1593,resnet,large,127.7,0.123411,warm,200
1594,resnet,small,125.1,0.121217,warm,200
1595,mobilenet,medium,23.2,0.018372,warm,200
1596,matrixmul,medium,524.5,0.511853,warm,200
1597,resnet,large,148.7,0.140902,warm,200
1598,pagerank,small,20.5,0.010186,warm,200
1599,linpack,small,11.9,0.005079,warm,200
1600,mobilenet,small,22.9,0.018518,warm,200
1601,grayscale,medium,73.1,0.059814,warm,200
1602,fastfouriertransform,small,21.8,0.004896,warm,200
1603,fetchdata,medium,80.0,0.075555,warm,200
1604,grayscale,medium,71.4,0.057656,warm,200
1605,mobilenet,small,29.6,0.024235,warm,200
1606,pagerank,medium,94.2,0.063755,warm,200
1607,linpack,medium,692.2,0.684831,warm,200
1608,fastfouriertransform,medium,657.7,0.639541,warm,200
1609,mobilenet,medium,30.1,0.024663,warm,200
1610,fastfouriertransform,medium,898.0,0.638059,warm,200
1611,graphgen,large,562.7,0.087975,warm,200
1612,fastfouriertransform,small,504.6,0.004847,warm,200
1613,linpack,large,90.1,0.005088,warm,200
1614,fastfouriertransform,large,99.6,0.004844,warm,200
1615,fetchdata,large,79.5,0.074947,warm,200
1616,genmatrix,large,54.5,0.001172,warm,200
1617,fetchdata,large,79.3,0.074724,warm,200
1618,fetchdata,medium,80.8,0.076403,warm,200
1619,pagerank,medium,89.1,0.062235,warm,200
1620,mobilenet,small,33.0,0.023842,warm,200
1621,matrixmul,large,21.9,0.007389,warm,200
1622,fetchdata,small,85.9,0.081162,warm,200
1623,matrixmul,medium,525.2,0.511424,warm,200
1624,graphgen,large,525.8,0.065387,warm,200
1625,resnet,small,141.5,0.13572,warm,200
1626,mobilenet,large,23.4,0.017554,warm,200
1627,matrixmul,medium,520.7,0.508997,warm,200
1628,graphgen,large,531.1,0.067744,warm,200
1629,genmatrix,small,6.3,0.000158,warm,200
1630,grayscale,large,5486.4,2.709435,cold,200
1631,fastfouriertransform,large,21.1,0.007627,warm,200
1632,fastfouriertransform,large,21.2,0.00764,warm,200
1633,fetchdata,medium,87.2,0.082485,warm,200
1634,linpack,small,14.6,0.008068,warm,200
1635,mobilenet,small,24.0,0.018541,warm,200
1636,grayscale,large,6995.2,2.667541,cold,200
1637,mobilenet,large,21.7,0.017721,warm,200
1638,linpack,large,14.3,0.008024,warm,200
1639,matrixmul,large,17.3,0.005012,warm,200
1640,matrixmul,large,17.0,0.004976,warm,200
1641,fastfouriertransform,medium,693.7,0.67601,warm,200
1642,linpack,medium,698.4,0.691304,warm,200
1643,resnet,small,174.6,0.169799,warm,200
1644,grayscale,large,5519.4,2.66889,cold,200
1645,resnet,small,127.2,0.122845,warm,200
1646,fetchdata,medium,126.8,0.122247,warm,200
1647,fastfouriertransform,small,21.3,0.004941,warm,200
1648,grayscale,small,1875.7,0.00679,warm,200
1649,fetchdata,medium,78.6,0.074708,warm,200
1650,fetchdata,large,79.1,0.075052,warm,200
1651,matrixmul,medium,548.4,0.536049,warm,200
1652,resnet,small,149.8,0.144786,warm,200
1653,resnet,medium,128.3,0.120984,warm,200
1654,matrixmul,small,17.7,0.004982,warm,200
1655,mobilenet,large,28.9,0.023833,warm,200
1656,pagerank,large,427.5,0.308022,warm,200
1657,fetchdata,large,78.5,0.074085,warm,200
1658,fetchdata,medium,78.4,0.074621,warm,200
1659,grayscale,small,2386.1,0.006807,cold,200
1660,fetchdata,medium,79.3,0.074952,warm,200
1661,mobilenet,large,27.8,0.022737,warm,200
1662,graphgen,medium,136.2,0.019719,warm,200
1663,graphgen,medium,113.9,0.013718,warm,200
1664,fetchdata,small,79.1,0.074641,warm,200
1665,matrixmul,large,17.3,0.005009,warm,200
1666,pagerank,large,423.7,0.284701,warm,200
1667,mobilenet,medium,28.3,0.023014,warm,200
1668,mobilenet,medium,28.9,0.023068,warm,200
1669,mobilenet,medium,27.8,0.022543,warm,200
1670,fetchdata,small,87.7,0.083138,warm,200
1671,resnet,small,127.4,0.12168,warm,200
1672,genmatrix,medium,13.8,0.000293,warm,200
1673,graphgen,medium,114.9,0.013539,warm,200
1674,genmatrix,large,52.1,0.001214,warm,200
1675,grayscale,small,12.1,0.006784,warm,200
1676,mobilenet,large,28.4,0.0189,warm,200
1677,mobilenet,large,22.1,0.017688,warm,200
1678,pagerank,small,18.3,0.010042,warm,200
1679,resnet,small,157.5,0.152725,warm,200
1680,grayscale,large,2868.5,2.683768,cold,200
1681,linpack,large,15.5,0.008022,warm,200
1682,graphgen,large,526.3,0.065027,warm,200
1683,mobilenet,large,25.3,0.018078,warm,200
1684,genmatrix,medium,9.5,0.000199,warm,200
1685,fastfouriertransform,large,21.3,0.007628,warm,200
1686,genmatrix,medium,9.3,0.000196,warm,200
1687,graphgen,medium,123.8,0.01276,warm,200
1688,grayscale,medium,1214.7,0.057725,warm,200
1689,fastfouriertransform,medium,714.5,0.700574,warm,200
1690,fastfouriertransform,small,520.2,0.004867,warm,200
1691,genmatrix,large,39.5,0.000805,warm,200
1692,resnet,large,129.2,0.123657,warm,200
1693,linpack,large,15.7,0.008157,warm,200
1694,resnet,large,126.9,0.121572,warm,200
1695,matrixmul,small,22.9,0.007909,warm,200
1696,resnet,small,125.6,0.121323,warm,200
1697,genmatrix,small,5.0,0.000103,warm,200
1698,graphgen,large,563.4,0.094157,warm,200
1699,linpack,large,15.8,0.008034,warm,200
1700,grayscale,large,2853.3,2.668826,cold,200
1701,pagerank,small,147.7,0.01564,warm,200
1702,linpack,large,14.6,0.00801,warm,200
1703,grayscale,medium,2206.0,0.058196,cold,200
1704,resnet,medium,132.7,0.127509,warm,200
1705,pagerank,large,414.2,0.305022,warm,200
1706,fastfouriertransform,small,18.1,0.004899,warm,200
1707,matrixmul,small,23.2,0.007872,warm,200
1708,grayscale,large,9361.8,2.665674,cold,200
1709,fetchdata,large,80.6,0.075933,warm,200
1710,fetchdata,small,79.0,0.074954,warm,200
1711,fetchdata,large,88.4,0.084195,warm,200
1712,linpack,small,12.4,0.00509,warm,200
1713,matrixmul,medium,562.2,0.549723,warm,200
1714,fetchdata,large,87.2,0.081739,warm,200
1715,grayscale,large,5320.8,2.672426,cold,200
1716,matrixmul,medium,543.6,0.510043,warm,200
1717,mobilenet,small,22.5,0.017678,warm,200
1718,fastfouriertransform,medium,696.1,0.68214,warm,200
1719,pagerank,large,426.5,0.28761,warm,200
1720,grayscale,large,7045.1,2.672058,cold,200
1721,linpack,medium,654.9,0.6478,warm,200
1722,mobilenet,medium,21.6,0.017601,warm,200
1723,resnet,small,150.9,0.146144,warm,200
1724,fastfouriertransform,large,18.4,0.00495,warm,200
1725,mobilenet,large,22.1,0.018064,warm,200
1726,linpack,small,11.3,0.005074,warm,200
1727,pagerank,medium,281.7,0.047731,warm,200
1728,genmatrix,medium,9.7,0.000221,warm,200
1729,genmatrix,medium,9.4,0.000196,warm,200
1730,grayscale,medium,4987.4,0.059729,cold,200
1731,grayscale,medium,4858.4,0.057544,cold,200
1732,pagerank,large,453.4,0.331462,warm,200
1733,fetchdata,large,127.2,0.122504,warm,200
1734,mobilenet,medium,23.6,0.019166,warm,200
1735,graphgen,small,39.0,0.004284,warm,200
1736,fastfouriertransform,large,29.6,0.004964,warm,200
1737,mobilenet,small,22.0,0.017686,warm,200
1738,fastfouriertransform,small,229.2,0.004959,warm,200
1739,mobilenet,medium,23.5,0.01891,warm,200
1740,graphgen,medium,185.6,0.019746,warm,200
1741,genmatrix,large,60.0,0.000795,warm,200
1742,fetchdata,large,79.1,0.075013,warm,200
1743,grayscale,small,2298.6,0.006798,cold,200
1744,grayscale,small,2109.9,0.007264,cold,200
1745,linpack,medium,695.6,0.68753,warm,200
1746,fastfouriertransform,medium,696.4,0.671314,warm,200
1747,fetchdata,small,79.5,0.075025,warm,200
1748,matrixmul,large,24.1,0.007948,warm,200
1749,grayscale,large,4078.1,2.669291,cold,200
1750,genmatrix,medium,9.8,0.0002,warm,200
1751,fastfouriertransform,large,20.9,0.004971,warm,200
1752,fastfouriertransform,small,18.2,0.004901,warm,200
1753,genmatrix,medium,16.4,0.000319,warm,200
1754,fastfouriertransform,small,19.3,0.004928,warm,200
1755,resnet,small,154.2,0.148177,warm,200
1756,pagerank,large,426.7,0.285942,warm,200
1757,mobilenet,small,29.5,0.023319,warm,200
1758,graphgen,large,528.6,0.066683,warm,200
1759,linpack,small,92.1,0.00509,warm,200
1760,matrixmul,large,17.7,0.004992,warm,200
1761,fetchdata,medium,88.8,0.08396,warm,200
1762,fastfouriertransform,small,19.1,0.004911,warm,200
1763,matrixmul,small,17.3,0.004973,warm,200
1764,fastfouriertransform,small,18.3,0.004887,warm,200
1765,linpack,medium,656.4,0.649424,warm,200
1766,grayscale,small,34.3,0.021165,warm,200
1767,matrixmul,small,17.7,0.005086,warm,200
1768,fetchdata,small,87.3,0.082834,warm,200
1769,pagerank,large,376.6,0.284029,warm,200
1770,graphgen,large,525.0,0.065144,warm,200
1771,fetchdata,medium,86.5,0.08205,warm,200
1772,linpack,large,15.3,0.008047,warm,200
1773,genmatrix,large,41.0,0.000799,warm,200
1774,fetchdata,medium,88.6,0.083545,warm,200
1775,resnet,large,126.3,0.121962,warm,200
1776,mobilenet,small,21.6,0.01743,warm,200
1777,fastfouriertransform,small,25.1,0.007629,warm,200
1778,fetchdata,small,86.6,0.082067,warm,200
1779,resnet,large,128.4,0.123869,warm,200
1780,matrixmul,medium,523.6,0.510772,warm,200
1781,matrixmul,medium,870.7,0.538895,warm,200
1782,fetchdata,small,80.2,0.07587,warm,200
1783,grayscale,large,3430.3,2.681934,cold,200
1784,fastfouriertransform,small,24.5,0.006754,warm,200
1785,pagerank,large,431.0,0.275713,warm,200
1786,resnet,large,125.2,0.120648,warm,200
1787,resnet,medium,128.4,0.121052,warm,200
1788,graphgen,large,537.2,0.063962,warm,200
1789,grayscale,small,16.3,0.0107,warm,200
