function,payload,cpu_limit,memory_mb,payload_size_mb,output_size_mb,build_time_msec,total_cold_msec,cold_start_msec,execution_time_cold_msec,total_warm_avg_msec,warm_start_avg_msec,execution_time_warm_avg_msec,warm_iterations
aggregator,small,0.5,512,0.000924,.000970,515,524,523.915000,.085000,126.900000,126.852800,.047200,10
aggregator,medium,0.5,512,0.000923,.000969,515,524,523.915000,.085000,158.100000,158.035000,.065000,10
aggregator,large,0.5,512,0.000925,.000967,515,524,523.915000,.085000,132.300000,132.235500,.064500,10
cosine,small,0.5,512,0.000030,.000107,666,978,611.619000,366.381000,580.800000,133.149700,447.650300,10
cosine,medium,0.5,512,0.000031,.000108,666,978,611.619000,366.381000,1898.200000,138.387500,1759.812500,10
cosine,large,0.5,512,0.000031,.000108,666,978,611.619000,366.381000,4259.100000,120.713400,4138.386600,10
factors,small,0.5,512,0.000028,.000090,666,561,560.971000,.029000,134.600000,134.543400,.056600,10
factors,medium,0.5,512,0.000031,.000193,666,561,560.971000,.029000,124.200000,119.969800,4.230200,10
factors,large,0.5,512,0.000028,.000090,666,561,560.971000,.029000,135.300000,135.240700,.059300,10
fast_fourier_transform,small,0.5,512,0.193513,.000262,706,1015,1011.072000,3.928000,474.200000,454.699500,19.500500,10
fast_fourier_transform,medium,0.5,512,0.193516,.000262,706,1015,1011.072000,3.928000,1290.600000,426.684400,863.915600,10
fast_fourier_transform,large,0.5,512,0.193513,.000262,706,1015,1011.072000,3.928000,438.400000,419.590000,18.810000,10
gen_int,small,0.5,512,0.000041,.000090,799,889,824.802000,64.198000,467.100000,444.850100,22.249900,10
gen_int,medium,0.5,512,0.000041,.000091,799,889,824.802000,64.198000,444.600000,419.535500,25.064500,10
gen_int,large,0.5,512,0.000043,.000091,799,889,824.802000,64.198000,476.800000,469.434900,7.365100,10
gen_list,small,0.5,512,0.000041,.193575,600,845,834.819000,10.181000,446.500000,422.556800,23.943200,10
gen_list,medium,0.5,512,0.000041,.193575,600,845,834.819000,10.181000,450.900000,442.861000,8.039000,10
gen_list,large,0.5,512,0.000042,.193575,600,845,834.819000,10.181000,452.100000,430.976200,21.123800,10
gen_matrix_a,small,0.5,512,0.000041,.023849,711,927,869.821000,57.179000,501.500000,487.160100,14.339900,10
gen_matrix_a,medium,0.5,512,0.000041,.100432,711,927,869.821000,57.179000,464.800000,443.760500,21.039500,10
gen_matrix_a,large,0.5,512,0.000042,.559058,711,927,869.821000,57.179000,486.500000,471.074000,15.426000,10
gen_matrix_b,small,0.5,512,0.000041,.023833,624,918,847.338000,70.662000,440.900000,431.551300,9.348700,10
gen_matrix_b,medium,0.5,512,0.000041,.100445,624,918,847.338000,70.662000,478.700000,452.761700,25.938300,10
gen_matrix_b,large,0.5,512,0.000042,.559089,624,918,847.338000,70.662000,496.500000,473.001600,23.498400,10
linpack,small,0.5,512,0.200836,.000098,549,882,878.002000,3.998000,451.100000,424.312200,26.787800,10
linpack,medium,0.5,512,0.200742,.000098,549,882,878.002000,3.998000,1036.000000,409.871400,626.128600,10
linpack,large,0.5,512,0.200804,.000098,549,882,878.002000,3.998000,461.100000,449.121700,11.978300,10
matrix_multiplication,small,0.5,512,0.200836,.097341,540,733,729.491000,3.509000,468.000000,450.583200,17.416800,10
matrix_multiplication,medium,0.5,512,0.200742,.097317,540,733,729.491000,3.509000,1001.500000,430.121300,571.378700,10
matrix_multiplication,large,0.5,512,0.200804,.097273,540,733,729.491000,3.509000,482.800000,470.491500,12.308500,10
sine,small,0.5,512,0.000028,.000106,573,530,529.887000,.113000,146.400000,146.180300,.219700,10
sine,medium,0.5,512,0.000031,.000107,573,530,529.887000,.113000,1933.200000,136.917000,1796.283000,10
sine,large,0.5,512,0.000028,.000107,573,530,529.887000,.113000,115.000000,114.805100,.194900,10
source,small,0.5,512,0.000044,.000105,615,596,595.977000,.023000,130.800000,130.765100,.034900,10
source,medium,0.5,512,0.000044,.000105,615,596,595.977000,.023000,120.400000,120.348200,.051800,10
source,large,0.5,512,0.000045,.000106,615,596,595.977000,.023000,122.800000,122.767900,.032100,10
aggregator,small,1.0,128,0.000924,.000969,699,603,602.968000,.032000,134.900000,134.865000,.035000,10
aggregator,medium,1.0,128,0.000923,.000968,699,603,602.968000,.032000,134.800000,134.749800,.050200,10
aggregator,large,1.0,128,0.000925,.000967,699,603,602.968000,.032000,114.000000,113.955200,.044800,10
cosine,small,1.0,128,0.000030,.000107,537,677,513.391000,163.609000,302.300000,116.032500,186.267500,10
cosine,medium,1.0,128,0.000031,.000108,537,677,513.391000,163.609000,838.900000,119.919400,718.980600,10
cosine,large,1.0,128,0.000031,.000109,537,677,513.391000,163.609000,1857.400000,118.606800,1738.793200,10
factors,small,1.0,128,0.000028,.000091,731,457,456.943000,.057000,102.700000,102.656400,.043600,10
factors,medium,1.0,128,0.000031,.000193,731,457,456.943000,.057000,122.100000,115.276500,6.823500,10
factors,large,1.0,128,0.000028,.000090,731,457,456.943000,.057000,105.300000,105.250000,.050000,10
fast_fourier_transform,small,1.0,128,0.193513,.000262,609,743,737.66000,5.34000,310.800000,303.185600,7.614400,10
fast_fourier_transform,medium,1.0,128,0.193516,.000262,609,743,737.66000,5.34000,681.000000,294.700100,386.299900,10
fast_fourier_transform,large,1.0,128,0.193513,.000262,609,743,737.66000,5.34000,341.200000,332.203400,8.996600,10
gen_int,small,1.0,128,0.000041,.000090,541,791,772.158000,18.842000,342.500000,324.916500,17.583500,10
gen_int,medium,1.0,128,0.000041,.000090,541,791,772.158000,18.842000,320.800000,310.371400,10.428600,10
gen_int,large,1.0,128,0.000043,.000091,541,791,772.158000,18.842000,351.200000,339.973700,11.226300,10
gen_list,small,1.0,128,0.000041,.193576,634,784,770.969000,13.031000,336.000000,327.951800,8.048200,10
gen_list,medium,1.0,128,0.000041,.193576,634,784,770.969000,13.031000,324.400000,314.629500,9.770500,10
gen_list,large,1.0,128,0.000042,.193576,634,784,770.969000,13.031000,325.800000,316.487700,9.312300,10
gen_matrix_a,small,1.0,128,0.000041,.023835,547,674,662.363000,11.637000,313.900000,305.583400,8.316600,10
gen_matrix_a,medium,1.0,128,0.000041,.100429,547,674,662.363000,11.637000,327.000000,318.102500,8.897500,10
gen_matrix_a,large,1.0,128,0.000042,.559105,547,674,662.363000,11.637000,382.800000,372.797000,10.003000,10
gen_matrix_b,small,1.0,128,0.000041,.023835,607,700,692.218000,7.782000,342.900000,334.026700,8.873300,10
gen_matrix_b,medium,1.0,128,0.000041,.100428,607,700,692.218000,7.782000,357.100000,348.328100,8.771900,10
gen_matrix_b,large,1.0,128,0.000042,.559084,607,700,692.218000,7.782000,369.400000,358.446400,10.953600,10
linpack,small,1.0,128,0.200836,.000098,557,764,748.836000,15.164000,307.100000,302.184900,4.915100,10
linpack,medium,1.0,128,0.200742,.000098,557,764,748.836000,15.164000,631.900000,289.467600,342.432400,10
linpack,large,1.0,128,0.200804,.000098,557,764,748.836000,15.164000,296.400000,291.952300,4.447700,10
matrix_multiplication,small,1.0,128,0.200836,.097340,661,858,850.128000,7.872000,322.900000,317.561600,5.338400,10
matrix_multiplication,medium,1.0,128,0.200742,.097317,661,858,850.128000,7.872000,599.100000,306.033800,293.066200,10
matrix_multiplication,large,1.0,128,0.200804,.097273,661,858,850.128000,7.872000,348.500000,340.523600,7.976400,10
sine,small,1.0,128,0.000028,.000107,527,471,470.757000,.243000,107.200000,107.030600,.169400,10
sine,medium,1.0,128,0.000031,.000106,527,471,470.757000,.243000,871.900000,104.611100,767.288900,10
sine,large,1.0,128,0.000028,.000106,527,471,470.757000,.243000,119.500000,119.349600,.150400,10
source,small,1.0,128,0.000044,.000105,525,507,506.977000,.023000,105.500000,105.468700,.031300,10
source,medium,1.0,128,0.000044,.000105,525,507,506.977000,.023000,109.200000,109.167400,.032600,10
source,large,1.0,128,0.000045,.000106,525,507,506.977000,.023000,111.900000,111.860300,.039700,10
aggregator,small,1.0,256,0.000924,.000969,847,587,586.945000,.055000,125.500000,125.457700,.042300,10
aggregator,medium,1.0,256,0.000923,.000969,847,587,586.945000,.055000,114.300000,114.256700,.043300,10
aggregator,large,1.0,256,0.000925,.000967,847,587,586.945000,.055000,110.800000,110.743000,.057000,10
cosine,small,1.0,256,0.000030,.000107,552,865,598.635000,266.365000,361.700000,122.648800,239.051200,10
cosine,medium,1.0,256,0.000031,.000108,552,865,598.635000,266.365000,966.500000,108.148800,858.351200,10
cosine,large,1.0,256,0.000031,.000108,552,865,598.635000,266.365000,2052.500000,112.180300,1940.319700,10
factors,small,1.0,256,0.000028,.000090,1127,569,568.969000,.031000,119.400000,119.352600,.047400,10
factors,medium,1.0,256,0.000031,.000194,1127,569,568.969000,.031000,111.600000,106.138500,5.461500,10
factors,large,1.0,256,0.000028,.000090,1127,569,568.969000,.031000,103.000000,102.927200,.072800,10
fast_fourier_transform,small,1.0,256,0.193513,.000263,614,712,706.657000,5.343000,302.100000,294.982300,7.117700,10
fast_fourier_transform,medium,1.0,256,0.193516,.000262,614,712,706.657000,5.343000,689.100000,294.271400,394.828600,10
