index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
889,889,linpack,small,warm,200,142.94,142.93,0.0,5.15,137.79,False,,0.0,0.39,4.01,0.74,5.14,99
890,890,matrixmul,large,warm,200,872.02,872.02,0.0,5.0,867.02,False,,0.0,0.35,4.07,0.58,5.0,100
891,891,genmatrix,small,warm,200,14.01,14.01,0.01,0.11,13.9,False,,0.0,0.02,,0.08,0.11,100
892,892,genmatrix,medium,warm,200,17.2,17.19,0.01,0.21,16.99,False,,0.0,0.02,,0.18,0.21,100
893,893,fetchdata,small,warm,200,89.0,88.99,0.01,77.95,11.04,False,77.92,0.0,0.02,0.0,,77.95,99
894,894,genmatrix,medium,warm,200,31.15,31.15,0.0,0.22,30.93,False,,0.0,0.02,,0.2,0.22,100
895,895,fetchdata,small,warm,200,95.29,95.28,0.01,79.12,16.17,False,79.09,0.0,0.02,0.0,,79.11,100
896,896,fetchdata,small,warm,200,104.48,104.47,0.01,88.42,16.05,False,88.39,0.0,0.02,0.0,,88.42,99
897,897,fastfouriertransform,medium,cold,200,6916.13,6916.12,0.01,672.32,6243.8,False,,0.0,3.92,0.0,668.39,672.32,100
898,898,fastfouriertransform,large,cold,200,5211.97,5211.96,0.01,4.87,5207.09,False,,0.0,4.04,0.0,0.82,4.87,99
899,899,linpack,large,warm,200,24.36,24.35,0.0,5.17,19.18,False,,0.0,0.37,4.02,0.78,5.17,100
900,900,linpack,small,warm,200,22.15,22.14,0.01,5.09,17.06,False,,0.0,0.35,4.01,0.72,5.08,100
901,901,genmatrix,large,warm,200,218.78,44.67,174.11,0.86,43.81,False,,0.0,0.03,,0.83,0.86,100
902,902,fetchdata,large,warm,200,90.85,90.84,0.01,77.07,13.77,False,77.03,0.0,0.03,0.0,,77.07,100
903,903,matrixmul,small,cold,200,1518.47,1518.47,0.0,5.13,1513.34,False,,0.0,0.45,4.11,0.56,5.13,100
904,904,fetchdata,small,warm,200,95.5,95.49,0.01,81.96,13.53,False,81.94,0.0,0.02,0.0,,81.96,100
905,905,linpack,small,warm,200,25.71,25.71,0.0,5.12,20.58,False,,0.0,0.34,4.01,0.76,5.12,100
906,906,matrixmul,small,warm,200,497.99,463.41,34.58,5.01,458.39,False,,0.0,0.36,4.02,0.62,5.01,99
907,907,matrixmul,medium,warm,200,1000.35,1000.34,0.01,518.48,481.86,False,,0.0,0.5,4.12,513.85,518.48,100
908,908,fetchdata,medium,warm,200,87.28,87.27,0.0,75.92,11.36,False,75.88,0.0,0.03,0.0,,75.91,100
909,909,linpack,medium,warm,200,675.15,675.14,0.01,658.36,16.78,False,,0.0,0.35,3.97,654.03,658.35,99
910,910,matrixmul,small,warm,200,825.58,747.73,77.85,5.04,742.68,False,,0.0,0.37,4.09,0.58,5.04,100
911,911,linpack,small,warm,200,24.16,24.16,0.0,5.09,19.06,False,,0.0,0.36,4.0,0.74,5.09,99
912,912,genmatrix,medium,warm,200,38.96,22.4,16.55,0.2,22.2,False,,0.0,0.02,,0.18,0.2,100
913,913,fetchdata,medium,warm,200,120.28,120.28,0.0,77.89,42.39,False,77.85,0.0,0.03,0.0,,77.89,100
914,914,linpack,medium,warm,200,691.64,691.63,0.0,677.87,13.76,False,,0.0,0.37,4.02,673.48,677.87,100
915,915,matrixmul,medium,warm,200,804.22,804.21,0.01,513.47,290.74,False,,0.0,0.36,4.02,509.08,513.47,99
916,916,matrixmul,large,warm,200,820.06,820.05,0.01,4.95,815.1,False,,0.0,0.38,3.98,0.59,4.95,100
917,917,linpack,medium,warm,200,703.59,703.59,0.0,676.6,26.99,False,,0.0,0.35,3.99,672.26,676.6,100
918,918,fetchdata,small,warm,200,83.43,83.42,0.0,74.45,8.97,False,74.43,0.0,0.02,0.0,,74.45,100
919,919,linpack,small,warm,200,694.68,694.67,0.0,5.09,689.58,False,,0.0,0.35,3.99,0.74,5.09,100
920,920,genmatrix,small,warm,200,13.9,13.9,0.0,0.11,13.79,False,,0.0,0.02,,0.09,0.11,100
921,921,matrixmul,medium,cold,200,2089.1,2082.24,6.86,558.29,1523.95,False,,0.0,0.36,3.99,553.93,558.28,100
922,922,linpack,small,warm,200,829.2,829.19,0.0,6.79,822.4,False,,0.0,0.67,5.37,0.75,6.79,100
923,923,linpack,small,warm,200,22.24,22.23,0.0,5.09,17.15,False,,0.0,0.34,4.01,0.73,5.09,100
924,924,genmatrix,small,warm,200,13.31,13.3,0.01,0.11,13.2,False,,0.0,0.02,,0.08,0.11,100
925,925,fetchdata,medium,warm,200,84.81,84.8,0.01,75.8,9.0,False,75.77,0.0,0.03,0.0,,75.8,98
926,926,matrixmul,large,warm,200,655.07,613.45,41.62,4.98,608.47,False,,0.0,0.37,4.03,0.57,4.97,99
927,927,fetchdata,medium,warm,200,91.43,91.43,0.0,74.75,16.68,False,74.71,0.0,0.03,0.0,,74.75,100
928,928,fastfouriertransform,small,cold,200,3632.89,3632.89,0.0,4.58,3628.31,False,,0.0,3.84,0.0,0.73,4.58,100
929,929,matrixmul,medium,warm,200,1108.65,1100.54,8.11,530.67,569.87,False,,0.0,0.36,4.02,526.28,530.67,100
930,930,fastfouriertransform,medium,cold,200,3510.5,3510.49,0.01,798.77,2711.72,False,,0.0,4.02,0.0,794.74,798.76,98
931,931,fastfouriertransform,medium,cold,200,4243.22,4243.22,0.0,658.16,3585.05,False,,0.0,3.9,0.0,654.25,658.16,99
932,932,linpack,medium,warm,200,1204.63,1204.63,0.01,684.67,519.96,False,,0.0,0.34,4.03,680.29,684.67,100
933,933,fetchdata,medium,warm,200,84.4,84.39,0.0,76.67,7.72,False,76.65,0.0,0.02,0.0,,76.67,100
934,934,fastfouriertransform,medium,cold,200,5670.14,5670.14,0.01,742.21,4927.92,False,,0.0,4.0,0.0,738.2,742.21,100
935,935,fetchdata,small,warm,200,92.22,92.22,0.0,78.63,13.59,False,78.59,0.0,0.03,0.0,,78.62,100
936,936,genmatrix,small,warm,200,18.62,18.61,0.0,0.21,18.41,False,,0.0,0.05,,0.15,0.21,100
937,937,genmatrix,small,warm,200,12.84,12.83,0.01,0.17,12.66,False,,0.0,0.02,,0.14,0.17,100
938,938,fetchdata,small,warm,200,97.41,97.41,0.01,80.48,16.92,False,80.45,0.0,0.02,0.0,,80.48,99
939,939,genmatrix,medium,warm,200,24.83,20.01,4.81,0.34,19.67,False,,0.0,0.07,,0.27,0.34,100
940,940,fetchdata,large,warm,200,105.62,105.61,0.01,81.4,24.21,False,81.37,0.0,0.02,0.0,,81.4,100
941,941,matrixmul,medium,warm,200,1204.42,1182.69,21.73,532.4,650.29,False,,0.0,0.4,4.01,527.98,532.4,100
